install_id,industry,size_band,country,climate,dust_level,shift_pattern,family,grade,cooling,ip_rating,duty_cycle_pct,channel,region,message_angle,landing_page,device,commissioning,service_plan,support_tier,had_thermal_fault,slow_first_response,ticket_count,feedback_score,order_value,installed_on,churned,reordered
I00038,mining,large,DE,temperate,high,2-shift,Lifter,consumer,active,IP65,35,trade-fair,middle-east,uptime,/contact,tablet,on-site,standard,pooled,false,false,0,,9000,2024-02-07,false,true
I00039,mining,small,AE,hot,medium,1-shift,Hoist,industrial,active,IP66,90,paid-social,dach,service,/pricing,desktop,guided,standard,dedicated,true,false,1,1,26400,2024-07-30,false,true
I00040,food,small,ES,hot,low,3-shift,Conveyor,pro,passive,IP66,65,trade-fair,dach,uptime,/contact,desktop,guided,none,pooled,true,true,3,2,11600,2024-03-28,false,true
I00041,logistics,mid,ES,hot,high,2-shift,Loader,consumer,active,IP66,35,search,iberia,service,/spec-sheets,tablet,guided,premium,pooled,false,false,0,4,4100,2024-07-11,false,true
I00042,mining,large,NO,arctic,medium,2-shift,Hoist,pro,active,IP65,65,paid-social,nordics,service,/pricing,desktop,self,none,dedicated,false,false,0,,23600,2024-05-02,true,false
I00043,construction,mid,MA,hot,medium,1-shift,Compactor,industrial,liquid,IP66,90,distributor-ME,middle-east,uptime,/pricing,desktop,self,premium,pooled,false,false,0,,79650,2025-02-25,false,true
I00044,logistics,large,SE,temperate,high,1-shift,Hoist,pro,liquid,IP65,65,paid-social,nordics,service,/case-studies,desktop,self,premium,pooled,true,true,1,2,11250,2024-08-22,false,true
I00045,mining,small,FI,hot,medium,3-shift,Sorter,pro,liquid,IP66,65,distributor-ME,middle-east,uptime,/case-studies,desktop,on-site,none,pooled,false,false,0,,11600,2024-05-30,false,true
I00046,mining,mid,SE,temperate,low,3-shift,Conveyor,industrial,active,IP65,90,trade-fair,benelux,price,/pricing,mobile,guided,standard,pooled,false,false,0,,27100,2024-03-14,false,true
I00047,construction,mid,MA,hot,high,2-shift,Lifter,industrial,liquid,IP66,90,search,benelux,durability,/products,mobile,guided,none,dedicated,false,false,1,,27000,2024-10-11,false,true
I00048,logistics,small,NO,temperate,high,1-shift,Compactor,pro,passive,IP54,65,search,middle-east,uptime,/case-studies,mobile,on-site,standard,dedicated,false,false,0,,56500,2024-04-03,false,true
I00049,mining,small,ES,hot,high,3-shift,Lifter,pro,active,IP65,65,trade-fair,dach,uptime,/spec-sheets,desktop,on-site,none,dedicated,false,false,0,,23200,2024-05-26,false,true
I00050,construction,small,ES,temperate,low,1-shift,Lifter,consumer,active,IP65,35,search,benelux,durability,/contact,desktop,guided,standard,pooled,false,false,1,,9000,2024-07-03,true,false
I00051,logistics,small,NO,arctic,medium,1-shift,Lifter,pro,liquid,IP54,65,search,nordics,durability,/case-studies,desktop,on-site,none,pooled,false,false,0,5,11750,2024-04-20,false,true
I00052,construction,mid,DE,hot,medium,2-shift,Hoist,consumer,active,IP66,35,search,middle-east,uptime,/contact,desktop,on-site,standard,dedicated,true,false,2,5,7700,2024-05-12,false,true
I00053,construction,small,DE,temperate,high,1-shift,Conveyor,consumer,active,IP54,35,referral,iberia,price,/pricing,desktop,on-site,none,pooled,false,true,1,2,4100,2024-12-11,true,false
I00054,food,mid,ES,hot,low,2-shift,Conveyor,pro,passive,IP66,65,distributor-ME,middle-east,uptime,/pricing,desktop,on-site,none,pooled,true,true,1,4,11600,2025-06-19,true,false
I00055,logistics,mid,SE,arctic,medium,1-shift,Lifter,pro,liquid,IP54,65,search,nordics,durability,/spec-sheets,desktop,on-site,standard,dedicated,true,false,1,,35250,2024-05-01,false,true
I00056,logistics,small,MA,hot,low,2-shift,Compactor,consumer,active,IP54,35,distributor-ME,middle-east,uptime,/pricing,mobile,guided,standard,pooled,false,false,0,,4500,2024-07-15,false,true
I00057,mining,small,MA,hot,medium,3-shift,Loader,consumer,passive,IP66,35,distributor-ME,middle-east,uptime,/spec-sheets,desktop,guided,none,pooled,false,false,1,2,4250,2025-07-19,false,true
I00058,logistics,small,ES,hot,medium,1-shift,Sorter,consumer,active,IP54,35,distributor-ME,middle-east,uptime,/spec-sheets,desktop,on-site,standard,pooled,false,true,1,4,7700,2024-05-21,false,true
I00059,construction,large,ES,hot,medium,1-shift,Compactor,consumer,active,IP54,35,trade-fair,dach,uptime,/contact,tablet,on-site,standard,pooled,true,true,2,,9000,2025-07-07,false,true
I00060,mining,small,FI,temperate,medium,3-shift,Conveyor,pro,active,IP65,65,referral,nordics,uptime,/pricing,desktop,on-site,standard,pooled,false,false,0,5,11700,2025-03-06,false,true
I00061,construction,large,MA,temperate,medium,1-shift,Hoist,consumer,passive,IP54,35,trade-fair,middle-east,uptime,/contact,tablet,self,standard,pooled,false,false,0,,4500,2025-08-02,false,true
I00062,food,small,SE,hot,high,2-shift,Lifter,pro,active,IP65,65,trade-fair,dach,uptime,/contact,desktop,guided,none,pooled,false,false,0,,11600,2024-04-08,false,true
I00063,food,large,ES,temperate,medium,3-shift,Lifter,industrial,liquid,IP66,90,referral,nordics,uptime,/spec-sheets,desktop,guided,standard,pooled,false,false,0,4,54000,2025-02-17,false,true
I00064,logistics,small,PL,hot,high,3-shift,Lifter,industrial,active,IP66,90,paid-social,middle-east,durability,/contact,mobile,guided,none,pooled,false,false,0,,26600,2025-02-05,false,true
I00065,food,mid,AE,hot,low,2-shift,Conveyor,industrial,liquid,IP54,90,paid-social,dach,service,/pricing,desktop,on-site,premium,dedicated,true,false,2,4,27150,2024-11-29,false,true
I00066,logistics,large,MA,hot,medium,1-shift,Conveyor,consumer,active,IP54,35,search,dach,service,/pricing,tablet,on-site,none,pooled,false,false,0,,8200,2024-09-11,false,true
I00067,food,small,SA,temperate,medium,2-shift,Compactor,industrial,liquid,IP66,90,trade-fair,benelux,price,/contact,tablet,self,standard,dedicated,true,false,2,2,53100,2024-07-22,false,true
I00068,food,mid,MA,hot,medium,3-shift,Loader,pro,liquid,IP54,65,trade-fair,benelux,price,/pricing,tablet,self,none,dedicated,false,false,0,5,11850,2024-10-13,false,true
I00069,construction,small,AE,hot,high,1-shift,Lifter,pro,active,IP65,65,trade-fair,iberia,durability,/products,mobile,on-site,standard,pooled,false,false,0,,58000,2025-01-24,false,true
I00070,food,large,PL,temperate,high,1-shift,Loader,consumer,active,IP66,35,search,dach,service,/case-studies,desktop,self,none,pooled,true,false,2,,4100,2024-03-29,false,true
I00071,food,small,FI,temperate,medium,2-shift,Sorter,pro,passive,IP54,65,paid-social,middle-east,durability,/case-studies,desktop,on-site,standard,pooled,false,false,0,,11850,2024-07-26,false,true
I00072,construction,small,PL,temperate,high,2-shift,Sorter,industrial,liquid,IP54,90,paid-social,nordics,service,/spec-sheets,desktop,guided,none,pooled,false,true,1,,54300,2024-04-16,false,true
I00073,food,small,PL,hot,medium,3-shift,Hoist,consumer,passive,IP54,35,referral,nordics,uptime,/pricing,mobile,on-site,standard,pooled,true,true,4,3,13500,2025-01-05,true,false
I00074,logistics,mid,ES,arctic,high,1-shift,Hoist,consumer,active,IP66,35,referral,iberia,price,/spec-sheets,tablet,self,none,pooled,false,true,1,,3850,2024-08-28,false,true
I00075,mining,mid,NO,arctic,high,3-shift,Compactor,pro,liquid,IP54,65,trade-fair,dach,uptime,/contact,desktop,self,standard,pooled,false,true,1,,34800,2025-06-24,false,true
I00076,logistics,small,ES,hot,low,2-shift,Hoist,pro,passive,IP66,65,search,nordics,durability,/contact,desktop,self,none,dedicated,true,false,1,2,35250,2024-05-17,false,true
I00077,mining,large,MA,hot,high,1-shift,Hoist,consumer,active,IP66,35,search,iberia,service,/case-studies,desktop,on-site,standard,pooled,false,false,0,5,7700,2024-04-19,true,false
I00078,logistics,large,DE,arctic,medium,3-shift,Hoist,consumer,passive,IP54,35,referral,nordics,uptime,/pricing,desktop,on-site,standard,pooled,false,true,2,,9000,2024-12-28,false,true
I00079,logistics,large,MA,hot,medium,1-shift,Hoist,industrial,active,IP66,90,paid-social,nordics,service,/spec-sheets,tablet,self,standard,dedicated,false,false,0,4,26400,2024-08-01,false,true
I00080,logistics,small,AE,hot,high,2-shift,Compactor,industrial,liquid,IP66,90,search,iberia,service,/spec-sheets,desktop,on-site,standard,dedicated,false,false,1,,53100,2025-07-01,true,false
I00081,mining,small,DE,temperate,high,3-shift,Loader,consumer,active,IP66,35,paid-social,middle-east,durability,/case-studies,mobile,on-site,standard,dedicated,false,false,1,,4100,2024-11-17,false,true
I00082,logistics,large,MA,hot,low,1-shift,Conveyor,consumer,active,IP54,35,distributor-ME,middle-east,uptime,/case-studies,desktop,on-site,none,dedicated,false,false,0,,8200,2024-08-20,false,true
I00083,food,small,ES,hot,low,2-shift,Hoist,pro,passive,IP66,65,search,iberia,service,/case-studies,desktop,on-site,standard,dedicated,true,false,1,,35250,2025-01-01,false,true
I00084,food,mid,AE,hot,high,2-shift,Hoist,consumer,active,IP66,35,paid-social,dach,service,/products,tablet,guided,standard,pooled,false,false,1,4,3850,2025-08-12,false,true
I00085,logistics,small,AE,hot,high,2-shift,Lifter,pro,liquid,IP54,65,distributor-ME,middle-east,uptime,/products,desktop,guided,none,pooled,false,true,1,,11750,2024-08-28,true,false
I00086,logistics,small,MA,hot,high,1-shift,Sorter,industrial,active,IP54,90,distributor-ME,middle-east,uptime,/spec-sheets,desktop,self,premium,pooled,false,true,1,,54200,2024-08-30,false,true
I00087,mining,mid,SA,temperate,medium,2-shift,Conveyor,consumer,passive,IP54,35,paid-social,middle-east,durability,/products,desktop,self,standard,pooled,true,true,1,,11850,2024-10-08,true,false
I00088,food,mid,FI,temperate,high,3-shift,Hoist,consumer,passive,IP54,35,paid-social,nordics,service,/pricing,mobile,self,none,pooled,false,true,1,,9000,2024-07-29,true,false
I00089,mining,large,AE,hot,medium,2-shift,Loader,pro,liquid,IP54,65,paid-social,nordics,service,/products,desktop,guided,none,dedicated,false,false,0,,23700,2025-05-19,false,true
I00090,construction,large,SE,temperate,low,3-shift,Compactor,pro,liquid,IP54,65,referral,middle-east,service,/spec-sheets,desktop,on-site,standard,pooled,true,false,1,,58000,2024-06-04,false,true
I00091,logistics,mid,AE,hot,medium,1-shift,Hoist,pro,liquid,IP65,65,trade-fair,middle-east,uptime,/contact,mobile,on-site,premium,dedicated,false,false,0,,33750,2025-04-16,false,true
I00092,construction,small,AE,temperate,low,1-shift,Conveyor,pro,active,IP65,65,search,dach,service,/case-studies,mobile,on-site,standard,pooled,true,true,1,,11700,2025-02-23,true,false
I00093,logistics,mid,MA,hot,medium,3-shift,Loader,consumer,passive,IP66,35,referral,dach,uptime,/contact,desktop,guided,none,pooled,true,true,4,5,12750,2025-07-28,true,false
I00094,logistics,mid,SA,hot,low,2-shift,Hoist,pro,passive,IP66,65,search,iberia,service,/case-studies,mobile,self,standard,pooled,true,true,3,5,11750,2024-07-04,true,false
I00095,mining,small,SE,arctic,medium,3-shift,Compactor,industrial,active,IP66,90,search,benelux,durability,/spec-sheets,desktop,on-site,standard,dedicated,true,false,3,3,26600,2024-09-22,false,true
I00096,mining,large,PL,temperate,medium,1-shift,Conveyor,pro,passive,IP66,65,referral,middle-east,service,/contact,mobile,on-site,standard,pooled,false,false,0,,11600,2025-07-09,false,true
I00097,mining,small,ES,hot,medium,2-shift,Loader,consumer,passive,IP66,35,search,nordics,durability,/pricing,desktop,self,standard,pooled,true,true,2,4,4250,2024-06-29,false,true
I00098,food,large,SA,hot,medium,3-shift,Conveyor,pro,passive,IP66,65,distributor-ME,middle-east,uptime,/contact,desktop,self,none,pooled,true,true,3,4,11600,2024-03-08,true,false
I00099,logistics,small,DE,hot,medium,1-shift,Lifter,pro,active,IP65,65,distributor-ME,middle-east,uptime,/spec-sheets,mobile,on-site,premium,dedicated,false,true,2,,11600,2024-11-10,true,false
I00100,logistics,mid,MA,hot,low,2-shift,Conveyor,pro,active,IP65,65,trade-fair,nordics,service,/contact,desktop,self,standard,dedicated,false,false,0,4,23400,2025-01-30,false,true
I00101,construction,mid,NO,temperate,low,1-shift,Lifter,industrial,liquid,IP66,90,search,dach,service,/spec-sheets,desktop,on-site,premium,pooled,false,false,0,,54000,2024-07-01,false,true
I00102,mining,mid,NO,temperate,high,2-shift,Hoist,pro,passive,IP66,65,paid-social,dach,service,/case-studies,mobile,on-site,none,dedicated,false,false,1,,35250,2024-10-13,false,true
I00103,construction,small,AE,hot,high,1-shift,Conveyor,industrial,active,IP65,90,search,middle-east,uptime,/pricing,desktop,guided,none,dedicated,false,false,1,4,27100,2025-04-01,false,true
I00104,logistics,mid,MA,hot,medium,3-shift,Compactor,pro,active,IP65,65,paid-social,middle-east,durability,/pricing,desktop,self,none,dedicated,false,false,1,5,58000,2025-02-25,false,true
I00105,food,small,AE,hot,low,1-shift,Lifter,consumer,active,IP65,35,trade-fair,iberia,durability,/case-studies,mobile,self,premium,pooled,false,false,0,,9000,2024-12-11,false,true
I00106,logistics,mid,SA,hot,low,2-shift,Loader,industrial,active,IP66,90,trade-fair,nordics,service,/case-studies,desktop,self,standard,dedicated,true,true,1,,81150,2024-04-24,false,true
I00107,construction,mid,FI,temperate,low,1-shift,Lifter,industrial,active,IP66,90,trade-fair,benelux,price,/case-studies,desktop,self,none,dedicated,false,false,0,,26600,2025-04-11,false,true
I00108,logistics,small,DE,temperate,low,1-shift,Hoist,industrial,active,IP66,90,trade-fair,iberia,durability,/products,desktop,on-site,premium,dedicated,false,false,2,,132000,2024-06-03,false,true
I00109,logistics,small,SA,hot,high,2-shift,Sorter,consumer,active,IP54,35,distributor-ME,middle-east,uptime,/spec-sheets,mobile,on-site,standard,pooled,false,true,1,2,7700,2024-05-01,false,true
I00110,food,small,MA,hot,medium,3-shift,Lifter,pro,liquid,IP54,65,distributor-ME,middle-east,uptime,/pricing,desktop,on-site,standard,pooled,false,false,0,5,23500,2024-08-21,false,true
I00111,construction,small,PL,arctic,high,2-shift,Loader,pro,active,IP66,65,trade-fair,benelux,price,/spec-sheets,mobile,self,none,pooled,false,false,0,,11300,2025-04-10,true,false
I00112,construction,mid,MA,hot,medium,1-shift,Hoist,industrial,liquid,IP66,90,distributor-ME,middle-east,uptime,/products,desktop,on-site,none,pooled,false,false,0,5,132750,2025-07-25,false,true
I00113,construction,small,AE,hot,medium,3-shift,Compactor,industrial,liquid,IP66,90,trade-fair,middle-east,uptime,/contact,mobile,on-site,standard,pooled,true,false,1,5,79650,2024-04-28,false,true
I00114,mining,small,NO,temperate,low,3-shift,Loader,pro,liquid,IP54,65,paid-social,benelux,durability,/contact,desktop,guided,standard,dedicated,false,false,0,5,35550,2025-08-01,false,true
I00115,logistics,small,FI,arctic,medium,3-shift,Hoist,pro,liquid,IP65,65,search,benelux,durability,/products,mobile,self,premium,pooled,false,true,1,4,22500,2024-04-24,false,true
I00116,food,small,AE,hot,medium,3-shift,Loader,industrial,active,IP66,90,distributor-ME,middle-east,uptime,/pricing,desktop,on-site,premium,dedicated,false,true,2,,27050,2025-05-24,true,false
I00117,construction,mid,DE,hot,low,2-shift,Conveyor,industrial,active,IP65,90,distributor-ME,middle-east,uptime,/pricing,mobile,guided,standard,dedicated,true,false,2,4,27100,2024-09-29,false,true
I00118,logistics,small,AE,hot,low,2-shift,Sorter,pro,liquid,IP66,65,distributor-ME,middle-east,uptime,/case-studies,mobile,guided,standard,pooled,false,false,0,,11600,2024-10-08,false,true
I00119,logistics,large,PL,temperate,medium,3-shift,Loader,pro,liquid,IP54,65,referral,iberia,price,/case-studies,desktop,guided,standard,pooled,true,false,2,,59250,2024-03-21,false,true
I00120,logistics,small,ES,hot,low,2-shift,Lifter,pro,active,IP65,65,distributor-ME,middle-east,uptime,/spec-sheets,desktop,self,none,dedicated,false,false,1,2,58000,2025-01-10,false,true
I00121,construction,small,MA,hot,medium,2-shift,Loader,pro,active,IP66,65,referral,dach,uptime,/products,desktop,on-site,standard,dedicated,false,false,1,1,22600,2025-04-07,false,true
I00122,food,small,AE,hot,medium,3-shift,Conveyor,consumer,passive,IP54,35,distributor-ME,middle-east,uptime,/contact,desktop,on-site,none,pooled,true,true,4,,3950,2025-01-27,true,false
I00123,logistics,small,DE,temperate,high,1-shift,Sorter,industrial,active,IP54,90,paid-social,nordics,service,/contact,desktop,on-site,standard,dedicated,false,false,0,5,27100,2024-09-20,false,true
I00124,mining,mid,SE,temperate,low,3-shift,Compactor,pro,active,IP65,65,paid-social,iberia,service,/products,desktop,self,standard,pooled,true,true,1,,11600,2024-07-18,true,false
I00125,construction,small,AE,hot,low,2-shift,Lifter,pro,passive,IP65,65,paid-social,iberia,service,/contact,desktop,guided,standard,pooled,true,true,4,,11750,2025-01-17,true,false
I00126,construction,large,AE,hot,medium,1-shift,Loader,pro,liquid,IP54,65,distributor-ME,middle-east,uptime,/pricing,desktop,guided,standard,pooled,false,true,1,3,23700,2024-08-09,false,true
I00127,food,small,SE,temperate,medium,3-shift,Loader,industrial,liquid,IP65,90,trade-fair,iberia,durability,/products,desktop,on-site,none,dedicated,false,false,1,2,26850,2024-12-29,false,true
I00128,food,small,FI,temperate,medium,3-shift,Sorter,pro,passive,IP54,65,trade-fair,dach,uptime,/spec-sheets,desktop,self,standard,pooled,false,true,1,,23700,2024-09-06,false,true
I00129,logistics,small,NO,temperate,medium,3-shift,Hoist,industrial,liquid,IP66,90,referral,middle-east,service,/pricing,desktop,guided,none,dedicated,false,false,0,4,53100,2025-04-29,false,true
I00130,mining,small,MA,hot,medium,1-shift,Compactor,pro,passive,IP54,65,search,iberia,service,/pricing,mobile,guided,standard,dedicated,false,false,0,,56500,2025-02-23,true,false
I00131,food,mid,PL,temperate,medium,2-shift,Hoist,consumer,passive,IP54,35,search,dach,service,/contact,mobile,guided,standard,pooled,false,true,1,,4500,2025-06-29,false,true
I00132,construction,mid,MA,hot,medium,1-shift,Sorter,industrial,active,IP54,90,distributor-ME,middle-east,uptime,/products,desktop,self,standard,dedicated,true,false,1,,27100,2025-02-26,false,true
I00133,food,small,MA,temperate,medium,2-shift,Hoist,industrial,liquid,IP66,90,paid-social,middle-east,durability,/pricing,desktop,guided,standard,dedicated,false,false,0,,53100,2024-08-16,false,true
I00134,food,small,FI,temperate,medium,3-shift,Sorter,pro,liquid,IP66,65,distributor-ME,middle-east,uptime,/contact,tablet,self,standard,dedicated,false,false,0,4,34800,2024-08-16,false,true
I00135,logistics,small,FI,temperate,low,2-shift,Conveyor,consumer,passive,IP54,35,referral,benelux,price,/spec-sheets,desktop,on-site,premium,pooled,true,true,1,3,3950,2025-04-22,false,true
I00136,construction,large,DE,temperate,medium,1-shift,Hoist,pro,liquid,IP65,65,trade-fair,benelux,price,/contact,mobile,guided,standard,dedicated,false,false,1,,11250,2024-03-23,false,true
I00137,construction,mid,NO,temperate,low,2-shift,Lifter,consumer,passive,IP54,35,search,benelux,durability,/pricing,tablet,guided,standard,pooled,true,true,2,,4100,2025-08-06,false,true
I00138,food,large,FI,hot,medium,3-shift,Conveyor,pro,active,IP65,65,distributor-ME,middle-east,uptime,/spec-sheets,mobile,on-site,none,dedicated,false,false,0,,35100,2024-04-22,false,true
I00139,food,small,SE,hot,high,2-shift,Hoist,industrial,liquid,IP66,90,referral,middle-east,service,/spec-sheets,mobile,guided,standard,dedicated,true,false,1,,79650,2024-05-20,true,false
I00140,food,small,MA,hot,medium,3-shift,Compactor,pro,liquid,IP54,65,search,benelux,durability,/products,mobile,self,premium,dedicated,false,false,0,5,58000,2025-04-09,false,true
I00141,food,small,NO,temperate,medium,3-shift,Loader,pro,liquid,IP54,65,referral,middle-east,service,/case-studies,desktop,guided,standard,dedicated,false,false,0,,11850,2024-07-12,true,false
I00142,logistics,mid,SA,hot,high,1-shift,Sorter,industrial,active,IP54,90,trade-fair,middle-east,uptime,/products,desktop,self,none,pooled,false,false,0,4,135500,2024-12-04,false,true
I00143,mining,small,FI,temperate,low,3-shift,Sorter,pro,liquid,IP66,65,search,iberia,service,/case-studies,desktop,on-site,none,pooled,false,false,0,,11600,2024-06-03,false,true
I00144,logistics,small,FI,temperate,medium,2-shift,Loader,industrial,active,IP66,90,referral,middle-east,service,/spec-sheets,desktop,on-site,premium,dedicated,false,false,1,,27050,2025-05-19,false,true
I00145,construction,small,DE,temperate,low,1-shift,Compactor,industrial,active,IP66,90,trade-fair,dach,uptime,/products,desktop,self,standard,dedicated,false,false,0,5,53200,2024-10-01,false,true
I00146,mining,large,MA,hot,low,2-shift,Loader,pro,passive,IP65,65,referral,nordics,uptime,/products,desktop,self,premium,pooled,true,true,1,2,11200,2025-04-14,true,false
I00147,construction,small,ES,temperate,low,1-shift,Sorter,pro,active,IP65,65,trade-fair,benelux,price,/contact,tablet,self,standard,dedicated,false,false,0,,57500,2024-04-29,false,true
