action_id,customer,install,lever,choice,ts
A000065,K0113,I00017,sku_quoted,P031,2025-01-11
A000066,K0113,I00017,commissioning,self,2025-01-11
A000067,K0113,I00017,service_plan,none,2025-01-11
A000068,K0113,I00017,support_tier,pooled,2025-01-11
A000069,K0181,I00018,sku_quoted,P001,2024-03-15
A000070,K0181,I00018,commissioning,on-site,2024-03-15
A000071,K0181,I00018,service_plan,premium,2024-03-15
A000072,K0181,I00018,support_tier,pooled,2024-03-15
A000073,K0140,I00019,sku_quoted,P008,2024-05-18
A000074,K0140,I00019,commissioning,self,2024-05-18
A000075,K0140,I00019,service_plan,none,2024-05-18
A000076,K0140,I00019,support_tier,pooled,2024-05-18
A000077,K0464,I00020,sku_quoted,P042,2025-07-20
A000078,K0464,I00020,commissioning,self,2025-07-20
A000079,K0464,I00020,service_plan,premium,2025-07-20
A000080,K0464,I00020,support_tier,dedicated,2025-07-20
A000081,K0470,I00021,sku_quoted,P017,2025-02-22
A000082,K0470,I00021,commissioning,guided,2025-02-22
A000083,K0470,I00021,service_plan,standard,2025-02-22
A000084,K0470,I00021,support_tier,dedicated,2025-02-22
A000085,K0123,I00022,sku_quoted,P041,2024-08-15
A000086,K0123,I00022,commissioning,on-site,2024-08-15
A000087,K0123,I00022,service_plan,none,2024-08-15
A000088,K0123,I00022,support_tier,dedicated,2024-08-15
A000089,K0018,I00023,sku_quoted,P027,2024-05-22
A000090,K0018,I00023,commissioning,guided,2024-05-22
A000091,K0018,I00023,service_plan,premium,2024-05-22
A000092,K0018,I00023,support_tier,dedicated,2024-05-22
A000093,K0397,I00024,sku_quoted,P036,2024-10-31
A000094,K0397,I00024,commissioning,self,2024-10-31
A000095,K0397,I00024,service_plan,standard,2024-10-31
A000096,K0397,I00024,support_tier,dedicated,2024-10-31
A000097,K0404,I00025,sku_quoted,P041,2024-07-29
A000098,K0404,I00025,commissioning,self,2024-07-29
A000099,K0404,I00025,service_plan,standard,2024-07-29
A000100,K0404,I00025,support_tier,dedicated,2024-07-29
A000101,K0126,I00026,sku_quoted,P033,2024-08-09
A000102,K0126,I00026,commissioning,guided,2024-08-09
A000103,K0126,I00026,service_plan,premium,2024-08-09
A000104,K0126,I00026,support_tier,pooled,2024-08-09
A000105,K0199,I00027,sku_quoted,P013,2024-12-11
A000106,K0199,I00027,commissioning,on-site,2024-12-11
A000107,K0199,I00027,service_plan,standard,2024-12-11
A000108,K0199,I00027,support_tier,pooled,2024-12-11
A000109,K0048,I00028,sku_quoted,P001,2025-04-17
A000110,K0048,I00028,commissioning,self,2025-04-17
A000111,K0048,I00028,service_plan,none,2025-04-17
A000112,K0048,I00028,support_tier,dedicated,2025-04-17
A000113,K0349,I00029,sku_quoted,P002,2024-03-06
A000114,K0349,I00029,commissioning,on-site,2024-03-06
A000115,K0349,I00029,service_plan,premium,2024-03-06
A000116,K0349,I00029,support_tier,pooled,2024-03-06
A000117,K0062,I00030,sku_quoted,P003,2024-04-17
A000118,K0062,I00030,commissioning,on-site,2024-04-17
A000119,K0062,I00030,service_plan,standard,2024-04-17
A000120,K0062,I00030,support_tier,dedicated,2024-04-17
A000121,K0159,I00031,sku_quoted,P007,2025-07-18
A000122,K0159,I00031,commissioning,guided,2025-07-18
A000123,K0159,I00031,service_plan,standard,2025-07-18
A000124,K0159,I00031,support_tier,dedicated,2025-07-18
A000125,K0394,I00032,sku_quoted,P040,2024-09-09
A000126,K0394,I00032,commissioning,on-site,2024-09-09
A000127,K0394,I00032,service_plan,standard,2024-09-09
A000128,K0394,I00032,support_tier,pooled,2024-09-09
A000129,K0322,I00033,sku_quoted,P018,2024-08-01
A000130,K0322,I00033,commissioning,on-site,2024-08-01
A000131,K0322,I00033,service_plan,standard,2024-08-01
A000132,K0322,I00033,support_tier,dedicated,2024-08-01
A000133,K0432,I00034,sku_quoted,P031,2024-10-23
A000134,K0432,I00034,commissioning,self,2024-10-23
A000135,K0432,I00034,service_plan,standard,2024-10-23
A000136,K0432,I00034,support_tier,dedicated,2024-10-23
A000137,K0108,I00035,sku_quoted,P012,2024-06-17
A000138,K0108,I00035,commissioning,guided,2024-06-17
A000139,K0108,I00035,service_plan,standard,2024-06-17
A000140,K0108,I00035,support_tier,dedicated,2024-06-17
A000141,K0300,I00036,sku_quoted,P038,2025-03-14
A000142,K0300,I00036,commissioning,on-site,2025-03-14
A000143,K0300,I00036,service_plan,standard,2025-03-14
A000144,K0300,I00036,support_tier,pooled,2025-03-14
A000145,K0112,I00037,sku_quoted,P010,2025-04-19
A000146,K0112,I00037,commissioning,guided,2025-04-19
A000147,K0112,I00037,service_plan,standard,2025-04-19
A000148,K0112,I00037,support_tier,dedicated,2025-04-19
A000149,K0279,I00038,sku_quoted,P002,2024-02-07
A000150,K0279,I00038,commissioning,on-site,2024-02-07
A000151,K0279,I00038,service_plan,standard,2024-02-07
A000152,K0279,I00038,support_tier,pooled,2024-02-07
A000153,K0480,I00039,sku_quoted,P027,2024-07-30
A000154,K0480,I00039,commissioning,guided,2024-07-30
A000155,K0480,I00039,service_plan,standard,2024-07-30
A000156,K0480,I00039,support_tier,dedicated,2024-07-30
A000157,K0006,I00040,sku_quoted,P010,2024-03-28
A000158,K0006,I00040,commissioning,guided,2024-03-28
A000159,K0006,I00040,service_plan,none,2024-03-28
A000160,K0006,I00040,support_tier,pooled,2024-03-28
A000161,K0135,I00041,sku_quoted,P037,2024-07-11
A000162,K0135,I00041,commissioning,guided,2024-07-11
A000163,K0135,I00041,service_plan,premium,2024-07-11
A000164,K0135,I00041,support_tier,pooled,2024-07-11
A000165,K0372,I00042,sku_quoted,P025,2024-05-02
A000166,K0372,I00042,commissioning,self,2024-05-02
A000167,K0372,I00042,service_plan,none,2024-05-02
A000168,K0372,I00042,support_tier,dedicated,2024-05-02
A000169,K0518,I00043,sku_quoted,P021,2025-02-25
A000170,K0518,I00043,commissioning,self,2025-02-25
A000171,K0518,I00043,service_plan,premium,2025-02-25
A000172,K0518,I00043,support_tier,pooled,2025-02-25
A000173,K0447,I00044,sku_quoted,P026,2024-08-22
A000174,K0447,I00044,commissioning,self,2024-08-22
A000175,K0447,I00044,service_plan,premium,2024-08-22
A000176,K0447,I00044,support_tier,pooled,2024-08-22
A000177,K0090,I00045,sku_quoted,P033,2024-05-30
A000178,K0090,I00045,commissioning,on-site,2024-05-30
A000179,K0090,I00045,service_plan,none,2024-05-30
A000180,K0090,I00045,support_tier,pooled,2024-05-30
A000181,K0368,I00046,sku_quoted,P013,2024-03-14
A000182,K0368,I00046,commissioning,guided,2024-03-14
A000183,K0368,I00046,service_plan,standard,2024-03-14
A000184,K0368,I00046,support_tier,pooled,2024-03-14
A000185,K0065,I00047,sku_quoted,P007,2024-10-11
A000186,K0065,I00047,commissioning,guided,2024-10-11
A000187,K0065,I00047,service_plan,none,2024-10-11
A000188,K0065,I00047,support_tier,dedicated,2024-10-11
A000189,K0079,I00048,sku_quoted,P017,2024-04-03
A000190,K0079,I00048,commissioning,on-site,2024-04-03
A000191,K0079,I00048,service_plan,standard,2024-04-03
A000192,K0079,I00048,support_tier,dedicated,2024-04-03
A000193,K0354,I00049,sku_quoted,P004,2024-05-26
A000194,K0354,I00049,commissioning,on-site,2024-05-26
A000195,K0354,I00049,service_plan,none,2024-05-26
A000196,K0354,I00049,support_tier,dedicated,2024-05-26
A000197,K0329,I00050,sku_quoted,P002,2024-07-03
A000198,K0329,I00050,commissioning,guided,2024-07-03
A000199,K0329,I00050,service_plan,standard,2024-07-03
A000200,K0329,I00050,support_tier,pooled,2024-07-03
A000201,K0076,I00051,sku_quoted,P005,2024-04-20
A000202,K0076,I00051,commissioning,on-site,2024-04-20
A000203,K0076,I00051,service_plan,none,2024-04-20
A000204,K0076,I00051,support_tier,pooled,2024-04-20
A000205,K0294,I00052,sku_quoted,P023,2024-05-12
A000206,K0294,I00052,commissioning,on-site,2024-05-12
A000207,K0294,I00052,service_plan,standard,2024-05-12
A000208,K0294,I00052,support_tier,dedicated,2024-05-12
A000209,K0467,I00053,sku_quoted,P009,2024-12-11
A000210,K0467,I00053,commissioning,on-site,2024-12-11
A000211,K0467,I00053,service_plan,none,2024-12-11
A000212,K0467,I00053,support_tier,pooled,2024-12-11
A000213,K0351,I00054,sku_quoted,P010,2025-06-19
A000214,K0351,I00054,commissioning,on-site,2025-06-19
A000215,K0351,I00054,service_plan,none,2025-06-19
A000216,K0351,I00054,support_tier,pooled,2025-06-19
A000217,K0172,I00055,sku_quoted,P005,2024-05-01
A000218,K0172,I00055,commissioning,on-site,2024-05-01
A000219,K0172,I00055,service_plan,standard,2024-05-01
A000220,K0172,I00055,support_tier,dedicated,2024-05-01
A000221,K0277,I00056,sku_quoted,P016,2024-07-15
A000222,K0277,I00056,commissioning,guided,2024-07-15
A000223,K0277,I00056,service_plan,standard,2024-07-15
A000224,K0277,I00056,support_tier,pooled,2024-07-15
A000225,K0119,I00057,sku_quoted,P036,2025-07-19
A000226,K0119,I00057,commissioning,guided,2025-07-19
A000227,K0119,I00057,service_plan,none,2025-07-19
A000228,K0119,I00057,support_tier,pooled,2025-07-19
A000229,K0285,I00058,sku_quoted,P030,2024-05-21
A000230,K0285,I00058,commissioning,on-site,2024-05-21
A000231,K0285,I00058,service_plan,standard,2024-05-21
A000232,K0285,I00058,support_tier,pooled,2024-05-21
A000233,K0402,I00059,sku_quoted,P016,2025-07-07
A000234,K0402,I00059,commissioning,on-site,2025-07-07
A000235,K0402,I00059,service_plan,standard,2025-07-07
A000236,K0402,I00059,support_tier,pooled,2025-07-07
A000237,K0190,I00060,sku_quoted,P011,2025-03-06
A000238,K0190,I00060,commissioning,on-site,2025-03-06
A000239,K0190,I00060,service_plan,standard,2025-03-06
A000240,K0190,I00060,support_tier,pooled,2025-03-06
A000241,K0423,I00061,sku_quoted,P022,2025-08-02
A000242,K0423,I00061,commissioning,self,2025-08-02
A000243,K0423,I00061,service_plan,standard,2025-08-02
A000244,K0423,I00061,support_tier,pooled,2025-08-02
A000245,K0087,I00062,sku_quoted,P004,2024-04-08
A000246,K0087,I00062,commissioning,guided,2024-04-08
A000247,K0087,I00062,service_plan,none,2024-04-08
A000248,K0087,I00062,support_tier,pooled,2024-04-08
A000249,K0003,I00063,sku_quoted,P007,2025-02-17
A000250,K0003,I00063,commissioning,guided,2025-02-17
A000251,K0003,I00063,service_plan,standard,2025-02-17
A000252,K0003,I00063,support_tier,pooled,2025-02-17
A000253,K0306,I00064,sku_quoted,P006,2025-02-05
A000254,K0306,I00064,commissioning,guided,2025-02-05
A000255,K0306,I00064,service_plan,none,2025-02-05
A000256,K0306,I00064,support_tier,pooled,2025-02-05
A000257,K0140,I00065,sku_quoted,P014,2024-11-29
A000258,K0140,I00065,commissioning,on-site,2024-11-29
A000259,K0140,I00065,service_plan,premium,2024-11-29
A000260,K0140,I00065,support_tier,dedicated,2024-11-29
A000261,K0360,I00066,sku_quoted,P009,2024-09-11
A000262,K0360,I00066,commissioning,on-site,2024-09-11
A000263,K0360,I00066,service_plan,none,2024-09-11
A000264,K0360,I00066,support_tier,pooled,2024-09-11
A000265,K0387,I00067,sku_quoted,P021,2024-07-22
A000266,K0387,I00067,commissioning,self,2024-07-22
A000267,K0387,I00067,service_plan,standard,2024-07-22
A000268,K0387,I00067,support_tier,dedicated,2024-07-22
A000269,K0054,I00068,sku_quoted,P040,2024-10-13
A000270,K0054,I00068,commissioning,self,2024-10-13
A000271,K0054,I00068,service_plan,none,2024-10-13
A000272,K0054,I00068,support_tier,dedicated,2024-10-13
A000273,K0308,I00069,sku_quoted,P004,2025-01-24
A000274,K0308,I00069,commissioning,on-site,2025-01-24
A000275,K0308,I00069,service_plan,standard,2025-01-24
A000276,K0308,I00069,support_tier,pooled,2025-01-24
A000277,K0414,I00070,sku_quoted,P037,2024-03-29
A000278,K0414,I00070,commissioning,self,2024-03-29
A000279,K0414,I00070,service_plan,none,2024-03-29
A000280,K0414,I00070,support_tier,pooled,2024-03-29
A000281,K0449,I00071,sku_quoted,P031,2024-07-26
A000282,K0449,I00071,commissioning,on-site,2024-07-26
A000283,K0449,I00071,service_plan,standard,2024-07-26
A000284,K0449,I00071,support_tier,pooled,2024-07-26
A000285,K0195,I00072,sku_quoted,P035,2024-04-16
A000286,K0195,I00072,commissioning,guided,2024-04-16
A000287,K0195,I00072,service_plan,none,2024-04-16
A000288,K0195,I00072,support_tier,pooled,2024-04-16
A000289,K0382,I00073,sku_quoted,P022,2025-01-05
A000290,K0382,I00073,commissioning,on-site,2025-01-05
A000291,K0382,I00073,service_plan,standard,2025-01-05
A000292,K0382,I00073,support_tier,pooled,2025-01-05
A000293,K0275,I00074,sku_quoted,P023,2024-08-28
A000294,K0275,I00074,commissioning,self,2024-08-28
A000295,K0275,I00074,service_plan,none,2024-08-28
A000296,K0275,I00074,support_tier,pooled,2024-08-28
A000297,K0072,I00075,sku_quoted,P019,2025-06-24
A000298,K0072,I00075,commissioning,self,2025-06-24
A000299,K0072,I00075,service_plan,standard,2025-06-24
A000300,K0072,I00075,support_tier,pooled,2025-06-24
A000301,K0251,I00076,sku_quoted,P024,2024-05-17
A000302,K0251,I00076,commissioning,self,2024-05-17
A000303,K0251,I00076,service_plan,none,2024-05-17
A000304,K0251,I00076,support_tier,dedicated,2024-05-17
A000305,K0321,I00077,sku_quoted,P023,2024-04-19
A000306,K0321,I00077,commissioning,on-site,2024-04-19
A000307,K0321,I00077,service_plan,standard,2024-04-19
A000308,K0321,I00077,support_tier,pooled,2024-04-19
A000309,K0241,I00078,sku_quoted,P022,2024-12-28
A000310,K0241,I00078,commissioning,on-site,2024-12-28
A000311,K0241,I00078,service_plan,standard,2024-12-28
A000312,K0241,I00078,support_tier,pooled,2024-12-28
A000313,K0159,I00079,sku_quoted,P027,2024-08-01
A000314,K0159,I00079,commissioning,self,2024-08-01
A000315,K0159,I00079,service_plan,standard,2024-08-01
A000316,K0159,I00079,support_tier,dedicated,2024-08-01
A000317,K0180,I00080,sku_quoted,P021,2025-07-01
A000318,K0180,I00080,commissioning,on-site,2025-07-01
A000319,K0180,I00080,service_plan,standard,2025-07-01
A000320,K0180,I00080,support_tier,dedicated,2025-07-01
A000321,K0303,I00081,sku_quoted,P037,2024-11-17
A000322,K0303,I00081,commissioning,on-site,2024-11-17
A000323,K0303,I00081,service_plan,standard,2024-11-17
A000324,K0303,I00081,support_tier,dedicated,2024-11-17
A000325,K0310,I00082,sku_quoted,P009,2024-08-20
A000326,K0310,I00082,commissioning,on-site,2024-08-20
A000327,K0310,I00082,service_plan,none,2024-08-20
A000328,K0310,I00082,support_tier,dedicated,2024-08-20
A000329,K0346,I00083,sku_quoted,P024,2025-01-01
A000330,K0346,I00083,commissioning,on-site,2025-01-01
A000331,K0346,I00083,service_plan,standard,2025-01-01
A000332,K0346,I00083,support_tier,dedicated,2025-01-01
A000333,K0517,I00084,sku_quoted,P023,2025-08-12
A000334,K0517,I00084,commissioning,guided,2025-08-12
A000335,K0517,I00084,service_plan,standard,2025-08-12
A000336,K0517,I00084,support_tier,pooled,2025-08-12
A000337,K0180,I00085,sku_quoted,P005,2024-08-28
A000338,K0180,I00085,commissioning,guided,2024-08-28
A000339,K0180,I00085,service_plan,none,2024-08-28
A000340,K0180,I00085,support_tier,pooled,2024-08-28
A000341,K0438,I00086,sku_quoted,P034,2024-08-30
A000342,K0438,I00086,commissioning,self,2024-08-30
A000343,K0438,I00086,service_plan,premium,2024-08-30
A000344,K0438,I00086,support_tier,pooled,2024-08-30
A000345,K0227,I00087,sku_quoted,P008,2024-10-08
A000346,K0227,I00087,commissioning,self,2024-10-08
A000347,K0227,I00087,service_plan,standard,2024-10-08
A000348,K0227,I00087,support_tier,pooled,2024-10-08
A000349,K0491,I00088,sku_quoted,P022,2024-07-29
A000350,K0491,I00088,commissioning,self,2024-07-29
A000351,K0491,I00088,service_plan,none,2024-07-29
A000352,K0491,I00088,support_tier,pooled,2024-07-29
A000353,K0137,I00089,sku_quoted,P040,2025-05-19
A000354,K0137,I00089,commissioning,guided,2025-05-19
A000355,K0137,I00089,service_plan,none,2025-05-19
A000356,K0137,I00089,support_tier,dedicated,2025-05-19
A000357,K0412,I00090,sku_quoted,P019,2024-06-04
A000358,K0412,I00090,commissioning,on-site,2024-06-04
A000359,K0412,I00090,service_plan,standard,2024-06-04
A000360,K0412,I00090,support_tier,pooled,2024-06-04
A000361,K0177,I00091,sku_quoted,P026,2025-04-16
A000362,K0177,I00091,commissioning,on-site,2025-04-16
A000363,K0177,I00091,service_plan,premium,2025-04-16
A000364,K0177,I00091,support_tier,dedicated,2025-04-16
A000365,K0308,I00092,sku_quoted,P011,2025-02-23
A000366,K0308,I00092,commissioning,on-site,2025-02-23
A000367,K0308,I00092,service_plan,standard,2025-02-23
A000368,K0308,I00092,support_tier,pooled,2025-02-23
A000369,K0366,I00093,sku_quoted,P036,2025-07-28
A000370,K0366,I00093,commissioning,guided,2025-07-28
A000371,K0366,I00093,service_plan,none,2025-07-28
A000372,K0366,I00093,support_tier,pooled,2025-07-28
A000373,K0413,I00094,sku_quoted,P024,2024-07-04
A000374,K0413,I00094,commissioning,self,2024-07-04
A000375,K0413,I00094,service_plan,standard,2024-07-04
A000376,K0413,I00094,support_tier,pooled,2024-07-04
A000377,K0458,I00095,sku_quoted,P020,2024-09-22
A000378,K0458,I00095,commissioning,on-site,2024-09-22
A000379,K0458,I00095,service_plan,standard,2024-09-22
A000380,K0458,I00095,support_tier,dedicated,2024-09-22
A000381,K0098,I00096,sku_quoted,P010,2025-07-09
A000382,K0098,I00096,commissioning,on-site,2025-07-09
A000383,K0098,I00096,service_plan,standard,2025-07-09
A000384,K0098,I00096,support_tier,pooled,2025-07-09
A000385,K0482,I00097,sku_quoted,P036,2024-06-29
A000386,K0482,I00097,commissioning,self,2024-06-29
A000387,K0482,I00097,service_plan,standard,2024-06-29
A000388,K0482,I00097,support_tier,pooled,2024-06-29
A000389,K0218,I00098,sku_quoted,P010,2024-03-08
A000390,K0218,I00098,commissioning,self,2024-03-08
A000391,K0218,I00098,service_plan,none,2024-03-08
A000392,K0218,I00098,support_tier,pooled,2024-03-08
A000393,K0024,I00099,sku_quoted,P004,2024-11-10
A000394,K0024,I00099,commissioning,on-site,2024-11-10
A000395,K0024,I00099,service_plan,premium,2024-11-10
A000396,K0024,I00099,support_tier,dedicated,2024-11-10
A000397,K0270,I00100,sku_quoted,P011,2025-01-30
A000398,K0270,I00100,commissioning,self,2025-01-30
A000399,K0270,I00100,service_plan,standard,2025-01-30
A000400,K0270,I00100,support_tier,dedicated,2025-01-30
A000401,K0291,I00101,sku_quoted,P007,2024-07-01
A000402,K0291,I00101,commissioning,on-site,2024-07-01
A000403,K0291,I00101,service_plan,premium,2024-07-01
A000404,K0291,I00101,support_tier,pooled,2024-07-01
A000405,K0144,I00102,sku_quoted,P024,2024-10-13
A000406,K0144,I00102,commissioning,on-site,2024-10-13
A000407,K0144,I00102,service_plan,none,2024-10-13
A000408,K0144,I00102,support_tier,dedicated,2024-10-13
A000409,K0308,I00103,sku_quoted,P013,2025-04-01
A000410,K0308,I00103,commissioning,guided,2025-04-01
A000411,K0308,I00103,service_plan,none,2025-04-01
A000412,K0308,I00103,support_tier,dedicated,2025-04-01
A000413,K0366,I00104,sku_quoted,P018,2025-02-25
A000414,K0366,I00104,commissioning,self,2025-02-25
A000415,K0366,I00104,service_plan,none,2025-02-25
A000416,K0366,I00104,support_tier,dedicated,2025-02-25
A000417,K0406,I00105,sku_quoted,P002,2024-12-11
A000418,K0406,I00105,commissioning,self,2024-12-11
A000419,K0406,I00105,service_plan,premium,2024-12-11
A000420,K0406,I00105,support_tier,pooled,2024-12-11
A000421,K0413,I00106,sku_quoted,P041,2024-04-24
A000422,K0413,I00106,commissioning,self,2024-04-24
A000423,K0413,I00106,service_plan,standard,2024-04-24
A000424,K0413,I00106,support_tier,dedicated,2024-04-24
A000425,K0187,I00107,sku_quoted,P006,2025-04-11
A000426,K0187,I00107,commissioning,self,2025-04-11
A000427,K0187,I00107,service_plan,none,2025-04-11
A000428,K0187,I00107,support_tier,dedicated,2025-04-11
A000429,K0397,I00108,sku_quoted,P027,2024-06-03
A000430,K0397,I00108,commissioning,on-site,2024-06-03
A000431,K0397,I00108,service_plan,premium,2024-06-03
A000432,K0397,I00108,support_tier,dedicated,2024-06-03
A000433,K0471,I00109,sku_quoted,P030,2024-05-01
A000434,K0471,I00109,commissioning,on-site,2024-05-01
A000435,K0471,I00109,service_plan,standard,2024-05-01
A000436,K0471,I00109,support_tier,pooled,2024-05-01
A000437,K0221,I00110,sku_quoted,P005,2024-08-21
A000438,K0221,I00110,commissioning,on-site,2024-08-21
A000439,K0221,I00110,service_plan,standard,2024-08-21
A000440,K0221,I00110,support_tier,pooled,2024-08-21
A000441,K0292,I00111,sku_quoted,P039,2025-04-10
A000442,K0292,I00111,commissioning,self,2025-04-10
A000443,K0292,I00111,service_plan,none,2025-04-10
A000444,K0292,I00111,support_tier,pooled,2025-04-10
A000445,K0518,I00112,sku_quoted,P028,2025-07-25
A000446,K0518,I00112,commissioning,on-site,2025-07-25
A000447,K0518,I00112,service_plan,none,2025-07-25
A000448,K0518,I00112,support_tier,pooled,2025-07-25
A000449,K0181,I00113,sku_quoted,P021,2024-04-28
A000450,K0181,I00113,commissioning,on-site,2024-04-28
A000451,K0181,I00113,service_plan,standard,2024-04-28
A000452,K0181,I00113,support_tier,pooled,2024-04-28
A000453,K0044,I00114,sku_quoted,P040,2025-08-01
A000454,K0044,I00114,commissioning,guided,2025-08-01
A000455,K0044,I00114,service_plan,standard,2025-08-01
A000456,K0044,I00114,support_tier,dedicated,2025-08-01
A000457,K0206,I00115,sku_quoted,P026,2024-04-24
A000458,K0206,I00115,commissioning,self,2024-04-24
A000459,K0206,I00115,service_plan,premium,2024-04-24
A000460,K0206,I00115,support_tier,pooled,2024-04-24
A000461,K0389,I00116,sku_quoted,P041,2025-05-24
A000462,K0389,I00116,commissioning,on-site,2025-05-24
A000463,K0389,I00116,service_plan,premium,2025-05-24
A000464,K0389,I00116,support_tier,dedicated,2025-05-24
A000465,K0350,I00117,sku_quoted,P013,2024-09-29
A000466,K0350,I00117,commissioning,guided,2024-09-29
A000467,K0350,I00117,service_plan,standard,2024-09-29
A000468,K0350,I00117,support_tier,dedicated,2024-09-29
A000469,K0038,I00118,sku_quoted,P033,2024-10-08
A000470,K0038,I00118,commissioning,guided,2024-10-08
A000471,K0038,I00118,service_plan,standard,2024-10-08
A000472,K0038,I00118,support_tier,pooled,2024-10-08
A000473,K0437,I00119,sku_quoted,P040,2024-03-21
A000474,K0437,I00119,commissioning,guided,2024-03-21
A000475,K0437,I00119,service_plan,standard,2024-03-21
A000476,K0437,I00119,support_tier,pooled,2024-03-21
A000477,K0251,I00120,sku_quoted,P004,2025-01-10
A000478,K0251,I00120,commissioning,self,2025-01-10
A000479,K0251,I00120,service_plan,none,2025-01-10
A000480,K0251,I00120,support_tier,dedicated,2025-01-10
A000481,K0153,I00121,sku_quoted,P039,2025-04-07
A000482,K0153,I00121,commissioning,on-site,2025-04-07
A000483,K0153,I00121,service_plan,standard,2025-04-07
A000484,K0153,I00121,support_tier,dedicated,2025-04-07
A000485,K0392,I00122,sku_quoted,P008,2025-01-27
A000486,K0392,I00122,commissioning,on-site,2025-01-27
A000487,K0392,I00122,service_plan,none,2025-01-27
A000488,K0392,I00122,support_tier,pooled,2025-01-27
A000489,K0401,I00123,sku_quoted,P034,2024-09-20
A000490,K0401,I00123,commissioning,on-site,2024-09-20
A000491,K0401,I00123,service_plan,standard,2024-09-20
A000492,K0401,I00123,support_tier,dedicated,2024-09-20
A000493,K0334,I00124,sku_quoted,P018,2024-07-18
A000494,K0334,I00124,commissioning,self,2024-07-18
A000495,K0334,I00124,service_plan,standard,2024-07-18
A000496,K0334,I00124,support_tier,pooled,2024-07-18
A000497,K0311,I00125,sku_quoted,P003,2025-01-17
A000498,K0311,I00125,commissioning,guided,2025-01-17
A000499,K0311,I00125,service_plan,standard,2025-01-17
A000500,K0311,I00125,support_tier,pooled,2025-01-17
A000501,K0075,I00126,sku_quoted,P040,2024-08-09
A000502,K0075,I00126,commissioning,guided,2024-08-09
