event_id,customer,session,install,type,page,body,value,ts
V000065,K0062,E00007,I00007,ticket_open,,"recurring overheat alarm, heat soak in the enclosure, thermal derate all afternoon",,2026-02-17
V000066,K0062,E00007,I00007,reorder,,,,2026-07-30
V000067,K0201,E00008,I00008,ad_click,/pricing,,,2025-04-11
V000068,K0201,E00008,I00008,page_view,/spec-sheets,,,2025-04-12
V000069,K0201,E00008,I00008,page_view,/products,,,2025-04-13
V000070,K0201,E00008,I00008,page_view,/case-studies,,,2025-04-14
V000071,K0201,E00008,I00008,quote_request,,,,2025-04-20
V000072,K0201,E00008,I00008,purchase,,,4100,2025-05-11
V000073,K0201,E00008,I00008,install,,,,2025-06-10
V000074,K0201,E00008,I00008,feedback_given,,"runs well, uptime has been excellent since commissioning",,2026-04-11
V000075,K0201,E00008,I00008,lapse,,,,2026-07-15
V000076,K0225,E00009,I00009,ad_click,/contact,,,2024-03-28
V000077,K0225,E00009,I00009,page_view,/pricing,,,2024-03-29
V000078,K0225,E00009,I00009,page_view,/pricing,,,2024-03-30
V000079,K0225,E00009,I00009,quote_request,,,,2024-04-06
V000080,K0225,E00009,I00009,purchase,,,33600,2024-04-27
V000081,K0225,E00009,I00009,install,,,,2024-05-27
V000082,K0225,E00009,I00009,fault_report,,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",,2024-06-18
V000083,K0225,E00009,I00009,ticket_open,,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",,2024-06-18
V000084,K0225,E00009,I00009,reorder,,,,2025-07-01
V000085,K0113,E00010,I00010,ad_click,/products,,,2025-01-07
V000086,K0113,E00010,I00010,page_view,/case-studies,,,2025-01-08
V000087,K0113,E00010,I00010,page_view,/products,,,2025-01-09
V000088,K0113,E00010,I00010,spec_download,,,,2025-01-11
V000089,K0113,E00010,I00010,quote_request,,,,2025-01-16
V000090,K0113,E00010,I00010,purchase,,,26550,2025-02-06
V000091,K0113,E00010,I00010,install,,,,2025-03-08
V000092,K0113,E00010,I00010,feedback_given,,"no complaints, the line has kept pace all quarter",,2026-03-29
V000093,K0113,E00010,I00010,reorder,,,,2026-04-12
V000094,K0490,E00011,I00011,ad_click,/spec-sheets,,,2024-11-22
V000095,K0490,E00011,I00011,page_view,/contact,,,2024-11-23
V000096,K0490,E00011,I00011,spec_download,,,,2024-11-26
V000097,K0490,E00011,I00011,quote_request,,,,2024-12-01
V000098,K0490,E00011,I00011,purchase,,,21500,2024-12-22
V000099,K0490,E00011,I00011,install,,,,2025-01-21
V000100,K0490,E00011,I00011,fault_report,,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",,2026-03-10
V000101,K0490,E00011,I00011,ticket_open,,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",,2026-03-10
V000102,K0490,E00011,I00011,fault_report,,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",,2025-07-18
V000103,K0490,E00011,I00011,ticket_open,,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",,2025-07-18
V000104,K0490,E00011,I00011,fault_report,,"bearing play after continuous running, wear on the drive belt, third shift usage",,2025-09-09
V000105,K0490,E00011,I00011,ticket_open,,"bearing play after continuous running, wear on the drive belt, third shift usage",,2025-09-09
V000106,K0490,E00011,I00011,lapse,,,,2026-02-25
V000107,K0429,E00012,I00012,ad_click,/spec-sheets,,,2025-03-04
V000108,K0429,E00012,I00012,page_view,/products,,,2025-03-05
V000109,K0429,E00012,I00012,page_view,/products,,,2025-03-06
V000110,K0429,E00012,I00012,page_view,/contact,,,2025-03-07
V000111,K0429,E00012,I00012,spec_download,,,,2025-03-08
V000112,K0429,E00012,I00012,quote_request,,,,2025-03-13
V000113,K0429,E00012,I00012,purchase,,,27050,2025-04-03
V000114,K0429,E00012,I00012,install,,,,2025-05-03
V000115,K0429,E00012,I00012,fault_report,,"bearing play after continuous running, wear on the drive belt, third shift usage",,2025-05-27
V000116,K0429,E00012,I00012,ticket_open,,"bearing play after continuous running, wear on the drive belt, third shift usage",,2025-05-27
V000117,K0429,E00012,I00012,ticket_open,,"guard interlock left open, machine correctly refused to start, user error",,2026-01-10
V000118,K0429,E00012,I00012,feedback_given,,"keeps overheating in summer, not what we were promised on uptime",,2026-03-03
V000119,K0429,E00012,I00012,reorder,,,,2026-06-07
V000120,K0001,E00013,I00013,ad_click,/products,,,2024-12-11
V000121,K0001,E00013,I00013,page_view,/case-studies,,,2024-12-12
V000122,K0001,E00013,I00013,quote_request,,,,2024-12-20
V000123,K0001,E00013,I00013,purchase,,,26550,2025-01-10
V000124,K0001,E00013,I00013,install,,,,2025-02-09
V000125,K0001,E00013,I00013,fault_report,,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",,2025-09-13
V000126,K0001,E00013,I00013,ticket_open,,"unit shuts down midday, ambient 44C on the yard, thermal cutout trips repeatedly",,2025-09-13
V000127,K0001,E00013,I00013,reorder,,,,2026-03-16
V000128,K0386,E00014,I00014,ad_click,/products,,,2024-07-28
V000129,K0386,E00014,I00014,page_view,/products,,,2024-07-29
V000130,K0386,E00014,I00014,page_view,/pricing,,,2024-07-30
V000131,K0386,E00014,I00014,page_view,/products,,,2024-07-31
V000132,K0386,E00014,I00014,quote_request,,,,2024-08-06
V000133,K0386,E00014,I00014,purchase,,,26600,2024-08-27
V000134,K0386,E00014,I00014,install,,,,2024-09-26
V000135,K0386,E00014,I00014,ticket_open,,"wrong operating mode selected, user error, showed the team the correct sequence",,2024-11-04
V000136,K0386,E00014,I00014,reorder,,,,2025-10-31
V000137,K0325,E00015,I00015,ad_click,/pricing,,,2024-03-06
V000138,K0325,E00015,I00015,page_view,/products,,,2024-03-07
V000139,K0325,E00015,I00015,quote_request,,,,2024-03-15
V000140,K0325,E00015,I00015,purchase,,,22500,2024-04-05
V000141,K0325,E00015,I00015,install,,,,2024-05-05
V000142,K0325,E00015,I00015,reorder,,,,2025-06-09
V000143,K0209,E00016,I00016,ad_click,/case-studies,,,2024-09-08
V000144,K0209,E00016,I00016,page_view,/contact,,,2024-09-09
V000145,K0209,E00016,I00016,page_view,/pricing,,,2024-09-10
V000146,K0209,E00016,I00016,page_view,/pricing,,,2024-09-11
V000147,K0209,E00016,I00016,quote_request,,,,2024-09-17
V000148,K0209,E00016,I00016,purchase,,,11300,2024-10-08
V000149,K0209,E00016,I00016,install,,,,2024-11-07
V000150,K0209,E00016,I00016,feedback_given,,"solid machine, support answered quickly when we asked",,2026-01-15
V000151,K0209,E00016,I00016,reorder,,,,2025-12-12
V000152,K0113,E00017,I00017,ad_click,/spec-sheets,,,2024-11-19
V000153,K0113,E00017,I00017,page_view,/case-studies,,,2024-11-20
V000154,K0113,E00017,I00017,spec_download,,,,2024-11-23
V000155,K0113,E00017,I00017,quote_request,,,,2024-11-28
V000156,K0113,E00017,I00017,purchase,,,11850,2024-12-19
V000157,K0113,E00017,I00017,install,,,,2025-01-18
V000158,K0113,E00017,I00017,fault_report,,"drive wear and vibration, continuous three shift operation since install",,2026-01-04
V000159,K0113,E00017,I00017,ticket_open,,"drive wear and vibration, continuous three shift operation since install",,2026-01-04
V000160,K0113,E00017,I00017,feedback_given,,"keeps overheating in summer, not what we were promised on uptime",,2025-06-21
V000161,K0113,E00017,I00017,reorder,,,,2026-02-22
V000162,K0181,E00018,I00018,ad_click,/case-studies,,,2024-02-10
V000163,K0181,E00018,I00018,page_view,/contact,,,2024-02-11
V000164,K0181,E00018,I00018,page_view,/case-studies,,,2024-02-12
V000165,K0181,E00018,I00018,page_view,/contact,,,2024-02-13
V000166,K0181,E00018,I00018,spec_download,,,,2024-02-14
V000167,K0181,E00018,I00018,quote_request,,,,2024-02-19
V000168,K0181,E00018,I00018,purchase,,,4100,2024-03-11
V000169,K0181,E00018,I00018,install,,,,2024-04-10
V000170,K0181,E00018,I00018,reorder,,,,2025-05-15
V000171,K0140,E00019,I00019,ad_click,/contact,,,2024-04-03
V000172,K0140,E00019,I00019,page_view,/contact,,,2024-04-04
V000173,K0140,E00019,I00019,page_view,/pricing,,,2024-04-05
V000174,K0140,E00019,I00019,spec_download,,,,2024-04-07
V000175,K0140,E00019,I00019,quote_request,,,,2024-04-12
V000176,K0140,E00019,I00019,purchase,,,3950,2024-05-03
V000177,K0140,E00019,I00019,install,,,,2024-06-02
V000178,K0140,E00019,I00019,fault_report,,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",,2025-02-14
V000179,K0140,E00019,I00019,ticket_open,,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",,2025-02-14
V000180,K0140,E00019,I00019,feedback_given,,"keeps overheating in summer, not what we were promised on uptime",,2025-08-05
V000181,K0140,E00019,I00019,reorder,,,,2025-07-07
V000182,K0464,E00020,I00020,ad_click,/pricing,,,2025-05-26
V000183,K0464,E00020,I00020,page_view,/case-studies,,,2025-05-27
V000184,K0464,E00020,I00020,page_view,/pricing,,,2025-05-28
V000185,K0464,E00020,I00020,page_view,/spec-sheets,,,2025-05-29
V000186,K0464,E00020,I00020,spec_download,,,,2025-05-30
V000187,K0464,E00020,I00020,quote_request,,,,2025-06-04
V000188,K0464,E00020,I00020,purchase,,,26850,2025-06-25
V000189,K0464,E00020,I00020,install,,,,2025-07-25
V000190,K0464,E00020,I00020,feedback_given,,"reliable so far, operators like the controls",,2026-05-28
V000191,K0464,E00020,I00020,reorder,,,,2026-08-29
V000192,K0470,E00021,I00021,ad_click,/pricing,,,2024-12-13
V000193,K0470,E00021,I00021,page_view,/spec-sheets,,,2024-12-14
V000194,K0470,E00021,I00021,page_view,/case-studies,,,2024-12-15
V000195,K0470,E00021,I00021,spec_download,,,,2024-12-17
V000196,K0470,E00021,I00021,quote_request,,,,2024-12-22
V000197,K0470,E00021,I00021,purchase,,,11300,2025-01-12
V000198,K0470,E00021,I00021,install,,,,2025-02-11
V000199,K0470,E00021,I00021,fault_report,,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",,2025-12-09
V000200,K0470,E00021,I00021,ticket_open,,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",,2025-12-09
V000201,K0470,E00021,I00021,reorder,,,,2026-03-18
V000202,K0123,E00022,I00022,ad_click,/pricing,,,2024-07-17
V000203,K0123,E00022,I00022,page_view,/products,,,2024-07-18
V000204,K0123,E00022,I00022,page_view,/case-studies,,,2024-07-19
V000205,K0123,E00022,I00022,quote_request,,,,2024-07-26
V000206,K0123,E00022,I00022,purchase,,,27050,2024-08-16
V000207,K0123,E00022,I00022,install,,,,2024-09-15
V000208,K0123,E00022,I00022,fault_report,,"drive wear and vibration, continuous three shift operation since install",,2025-01-17
V000209,K0123,E00022,I00022,ticket_open,,"drive wear and vibration, continuous three shift operation since install",,2025-01-17
V000210,K0123,E00022,I00022,reorder,,,,2025-10-20
V000211,K0018,E00023,I00023,ad_click,/case-studies,,,2024-04-11
V000212,K0018,E00023,I00023,page_view,/products,,,2024-04-12
V000213,K0018,E00023,I00023,page_view,/contact,,,2024-04-13
V000214,K0018,E00023,I00023,spec_download,,,,2024-04-15
V000215,K0018,E00023,I00023,quote_request,,,,2024-04-20
V000216,K0018,E00023,I00023,purchase,,,26400,2024-05-11
V000217,K0018,E00023,I00023,install,,,,2024-06-10
V000218,K0018,E00023,I00023,fault_report,,"drive wear and vibration, continuous three shift operation since install",,2025-05-18
V000219,K0018,E00023,I00023,ticket_open,,"drive wear and vibration, continuous three shift operation since install",,2025-05-18
V000220,K0018,E00023,I00023,ticket_open,,"operator loaded above rated capacity, retrained the crew, no defect found",,2024-11-30
V000221,K0018,E00023,I00023,reorder,,,,2025-07-15
V000222,K0397,E00024,I00024,ad_click,/pricing,,,2024-09-11
V000223,K0397,E00024,I00024,page_view,/products,,,2024-09-12
V000224,K0397,E00024,I00024,page_view,/spec-sheets,,,2024-09-13
V000225,K0397,E00024,I00024,spec_download,,,,2024-09-15
V000226,K0397,E00024,I00024,quote_request,,,,2024-09-20
V000227,K0397,E00024,I00024,purchase,,,8500,2024-10-11
V000228,K0397,E00024,I00024,install,,,,2024-11-10
V000229,K0397,E00024,I00024,ticket_open,,"intermittent contactor fault, panel resets on its own, no pattern found",,2025-06-11
V000230,K0397,E00024,I00024,reorder,,,,2025-12-15
V000231,K0404,E00025,I00025,ad_click,/products,,,2024-07-09
V000232,K0404,E00025,I00025,page_view,/pricing,,,2024-07-10
V000233,K0404,E00025,I00025,page_view,/pricing,,,2024-07-11
V000234,K0404,E00025,I00025,quote_request,,,,2024-07-18
V000235,K0404,E00025,I00025,purchase,,,81150,2024-08-08
V000236,K0404,E00025,I00025,install,,,,2024-09-07
V000237,K0404,E00025,I00025,feedback_given,,"solid machine, support answered quickly when we asked",,2025-11-06
V000238,K0404,E00025,I00025,reorder,,,,2025-10-12
V000239,K0126,E00026,I00026,ad_click,/pricing,,,2024-05-11
V000240,K0126,E00026,I00026,page_view,/spec-sheets,,,2024-05-12
V000241,K0126,E00026,I00026,spec_download,,,,2024-05-15
V000242,K0126,E00026,I00026,quote_request,,,,2024-05-20
V000243,K0126,E00026,I00026,purchase,,,11600,2024-06-10
V000244,K0126,E00026,I00026,install,,,,2024-07-10
V000245,K0126,E00026,I00026,fault_report,,"bearing play after continuous running, wear on the drive belt, third shift usage",,2024-11-13
V000246,K0126,E00026,I00026,ticket_open,,"bearing play after continuous running, wear on the drive belt, third shift usage",,2024-11-13
V000247,K0126,E00026,I00026,ticket_open,,"control board error code 21, replaced the relay, fault cleared",,2025-03-20
V000248,K0126,E00026,I00026,reorder,,,,2025-08-14
V000249,K0199,E00027,I00027,ad_click,/spec-sheets,,,2024-11-15
V000250,K0199,E00027,I00027,page_view,/pricing,,,2024-11-16
V000251,K0199,E00027,I00027,page_view,/spec-sheets,,,2024-11-17
V000252,K0199,E00027,I00027,spec_download,,,,2024-11-19
V000253,K0199,E00027,I00027,quote_request,,,,2024-11-24
V000254,K0199,E00027,I00027,purchase,,,54200,2024-12-15
V000255,K0199,E00027,I00027,install,,,,2025-01-14
V000256,K0199,E00027,I00027,fault_report,,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",,2025-07-01
V000257,K0199,E00027,I00027,ticket_open,,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",,2025-07-01
V000258,K0199,E00027,I00027,feedback_given,,"reliable so far, operators like the controls",,2025-05-06
V000259,K0199,E00027,I00027,reorder,,,,2026-02-18
V000260,K0048,E00028,I00028,ad_click,/case-studies,,,2025-02-13
V000261,K0048,E00028,I00028,page_view,/contact,,,2025-02-14
V000262,K0048,E00028,I00028,page_view,/contact,,,2025-02-15
V000263,K0048,E00028,I00028,page_view,/case-studies,,,2025-02-16
V000264,K0048,E00028,I00028,spec_download,,,,2025-02-17
V000265,K0048,E00028,I00028,quote_request,,,,2025-02-22
V000266,K0048,E00028,I00028,purchase,,,4100,2025-03-15
V000267,K0048,E00028,I00028,install,,,,2025-04-14
V000268,K0048,E00028,I00028,reorder,,,,2026-05-19
V000269,K0349,E00029,I00029,ad_click,/contact,,,2024-01-08
V000270,K0349,E00029,I00029,page_view,/spec-sheets,,,2024-01-09
V000271,K0349,E00029,I00029,page_view,/spec-sheets,,,2024-01-10
V000272,K0349,E00029,I00029,page_view,/case-studies,,,2024-01-11
V000273,K0349,E00029,I00029,quote_request,,,,2024-01-17
V000274,K0349,E00029,I00029,purchase,,,4500,2024-02-07
V000275,K0349,E00029,I00029,install,,,,2024-03-08
V000276,K0349,E00029,I00029,fault_report,,"bearing play after continuous running, wear on the drive belt, third shift usage",,2025-03-21
V000277,K0349,E00029,I00029,ticket_open,,"bearing play after continuous running, wear on the drive belt, third shift usage",,2025-03-21
V000278,K0349,E00029,I00029,feedback_given,,"too much downtime in hot weather, we lost a shift to it",,2024-11-23
V000279,K0349,E00029,I00029,reorder,,,,2025-04-12
V000280,K0062,E00030,I00030,ad_click,/contact,,,2024-02-09
V000281,K0062,E00030,I00030,page_view,/case-studies,,,2024-02-10
V000282,K0062,E00030,I00030,page_view,/case-studies,,,2024-02-11
V000283,K0062,E00030,I00030,page_view,/case-studies,,,2024-02-12
V000284,K0062,E00030,I00030,spec_download,,,,2024-02-13
V000285,K0062,E00030,I00030,quote_request,,,,2024-02-18
V000286,K0062,E00030,I00030,purchase,,,35250,2024-03-10
V000287,K0062,E00030,I00030,install,,,,2024-04-09
V000288,K0062,E00030,I00030,feedback_given,,"runs well, uptime has been excellent since commissioning",,2024-07-24
V000289,K0062,E00030,I00030,reorder,,,,2025-05-14
V000290,K0159,E00031,I00031,ad_click,/contact,,,2025-05-11
V000291,K0159,E00031,I00031,page_view,/contact,,,2025-05-12
V000292,K0159,E00031,I00031,page_view,/case-studies,,,2025-05-13
V000293,K0159,E00031,I00031,page_view,/pricing,,,2025-05-14
V000294,K0159,E00031,I00031,spec_download,,,,2025-05-15
V000295,K0159,E00031,I00031,quote_request,,,,2025-05-20
V000296,K0159,E00031,I00031,purchase,,,27000,2025-06-10
V000297,K0159,E00031,I00031,install,,,,2025-07-10
V000298,K0159,E00031,I00031,feedback_given,,"reliable so far, operators like the controls",,2026-06-29
V000299,K0159,E00031,I00031,reorder,,,,2026-08-14
V000300,K0394,E00032,I00032,ad_click,/products,,,2024-06-30
V000301,K0394,E00032,I00032,page_view,/contact,,,2024-07-01
V000302,K0394,E00032,I00032,page_view,/case-studies,,,2024-07-02
V000303,K0394,E00032,I00032,page_view,/spec-sheets,,,2024-07-03
V000304,K0394,E00032,I00032,quote_request,,,,2024-07-09
V000305,K0394,E00032,I00032,purchase,,,11850,2024-07-30
V000306,K0394,E00032,I00032,install,,,,2024-08-29
V000307,K0394,E00032,I00032,fault_report,,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",,2025-10-03
V000308,K0394,E00032,I00032,ticket_open,,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",,2025-10-03
V000309,K0394,E00032,I00032,reorder,,,,2025-10-03
V000310,K0322,E00033,I00033,ad_click,/spec-sheets,,,2024-07-12
V000311,K0322,E00033,I00033,page_view,/spec-sheets,,,2024-07-13
V000312,K0322,E00033,I00033,page_view,/products,,,2024-07-14
V000313,K0322,E00033,I00033,page_view,/spec-sheets,,,2024-07-15
V000314,K0322,E00033,I00033,spec_download,,,,2024-07-16
V000315,K0322,E00033,I00033,quote_request,,,,2024-07-21
V000316,K0322,E00033,I00033,purchase,,,23200,2024-08-11
V000317,K0322,E00033,I00033,install,,,,2024-09-10
V000318,K0322,E00033,I00033,feedback_given,,"no complaints, the line has kept pace all quarter",,2025-01-08
V000319,K0322,E00033,I00033,reorder,,,,2025-10-15
V000320,K0432,E00034,I00034,ad_click,/contact,,,2024-09-17
V000321,K0432,E00034,I00034,page_view,/spec-sheets,,,2024-09-18
V000322,K0432,E00034,I00034,spec_download,,,,2024-09-21
V000323,K0432,E00034,I00034,quote_request,,,,2024-09-26
V000324,K0432,E00034,I00034,purchase,,,11850,2024-10-17
V000325,K0432,E00034,I00034,install,,,,2024-11-16
V000326,K0432,E00034,I00034,fault_report,,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",,2024-12-30
V000327,K0432,E00034,I00034,ticket_open,,"overheating during afternoon peak, thermal protection engaged, cooling fins caked",,2024-12-30
V000328,K0432,E00034,I00034,fault_report,,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",,2025-09-14
V000329,K0432,E00034,I00034,ticket_open,,"thermal shutdown again at 41C ambient, passive cooling cannot keep up in summer",,2025-09-14
V000330,K0432,E00034,I00034,fault_report,,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",,2025-12-02
V000331,K0432,E00034,I00034,ticket_open,,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",,2025-12-02
V000332,K0432,E00034,I00034,feedback_given,,wear parts go faster than expected at our duty cycle,,2025-07-03
V000333,K0432,E00034,I00034,lapse,,,,2025-12-21
V000334,K0108,E00035,I00035,ad_click,/contact,,,2024-03-21
V000335,K0108,E00035,I00035,page_view,/pricing,,,2024-03-22
V000336,K0108,E00035,I00035,page_view,/spec-sheets,,,2024-03-23
V000337,K0108,E00035,I00035,spec_download,,,,2024-03-25
V000338,K0108,E00035,I00035,quote_request,,,,2024-03-30
V000339,K0108,E00035,I00035,purchase,,,23400,2024-04-20
V000340,K0108,E00035,I00035,install,,,,2024-05-20
V000341,K0108,E00035,I00035,fault_report,,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",,2024-09-23
V000342,K0108,E00035,I00035,ticket_open,,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",,2024-09-23
V000343,K0108,E00035,I00035,ticket_open,,"wrong operating mode selected, user error, showed the team the correct sequence",,2024-11-15
V000344,K0108,E00035,I00035,reorder,,,,2025-06-24
V000345,K0300,E00036,I00036,ad_click,/contact,,,2025-01-24
V000346,K0300,E00036,I00036,page_view,/pricing,,,2025-01-25
V000347,K0300,E00036,I00036,page_view,/products,,,2025-01-26
V000348,K0300,E00036,I00036,page_view,/case-studies,,,2025-01-27
V000349,K0300,E00036,I00036,quote_request,,,,2025-02-02
V000350,K0300,E00036,I00036,purchase,,,11200,2025-02-23
V000351,K0300,E00036,I00036,install,,,,2025-03-25
V000352,K0300,E00036,I00036,feedback_given,,"reliable so far, operators like the controls",,2025-11-13
V000353,K0300,E00036,I00036,reorder,,,,2026-04-29
V000354,K0112,E00037,I00037,ad_click,/pricing,,,2025-03-16
V000355,K0112,E00037,I00037,page_view,/pricing,,,2025-03-17
V000356,K0112,E00037,I00037,page_view,/contact,,,2025-03-18
V000357,K0112,E00037,I00037,quote_request,,,,2025-03-25
V000358,K0112,E00037,I00037,purchase,,,34800,2025-04-15
V000359,K0112,E00037,I00037,install,,,,2025-05-15
V000360,K0112,E00037,I00037,reorder,,,,2026-06-19
V000361,K0279,E00038,I00038,ad_click,/contact,,,2024-01-08
V000362,K0279,E00038,I00038,page_view,/case-studies,,,2024-01-09
V000363,K0279,E00038,I00038,page_view,/spec-sheets,,,2024-01-10
V000364,K0279,E00038,I00038,quote_request,,,,2024-01-17
V000365,K0279,E00038,I00038,purchase,,,9000,2024-02-07
V000366,K0279,E00038,I00038,install,,,,2024-03-08
V000367,K0279,E00038,I00038,reorder,,,,2025-04-12
V000368,K0480,E00039,I00039,ad_click,/pricing,,,2024-06-28
V000369,K0480,E00039,I00039,page_view,/products,,,2024-06-29
V000370,K0480,E00039,I00039,spec_download,,,,2024-07-02
V000371,K0480,E00039,I00039,quote_request,,,,2024-07-07
V000372,K0480,E00039,I00039,purchase,,,26400,2024-07-28
V000373,K0480,E00039,I00039,install,,,,2024-08-27
V000374,K0480,E00039,I00039,fault_report,,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",,2025-03-01
V000375,K0480,E00039,I00039,ticket_open,,"machine stops when ambient climbs, thermal fault logged, restarts after cooling",,2025-03-01
V000376,K0480,E00039,I00039,feedback_given,,support took days to come back to us while the line was stopped,,2025-02-28
V000377,K0480,E00039,I00039,reorder,,,,2025-10-01
V000378,K0006,E00040,I00040,ad_click,/contact,,,2024-02-13
V000379,K0006,E00040,I00040,page_view,/contact,,,2024-02-14
V000380,K0006,E00040,I00040,page_view,/products,,,2024-02-15
V000381,K0006,E00040,I00040,spec_download,,,,2024-02-17
V000382,K0006,E00040,I00040,quote_request,,,,2024-02-22
