order_id,customer,session,product,qty,value,ts
O00053,K0467,E00053,P009,1,4100,2024-11-16
O00054,K0351,E00054,P010,1,11600,2025-06-03
O00055,K0172,E00055,P005,3,35250,2024-03-13
O00056,K0277,E00056,P016,1,4500,2024-06-19
O00057,K0119,E00057,P036,1,4250,2025-06-30
O00058,K0285,E00058,P030,2,7700,2024-05-14
O00059,K0402,E00059,P016,2,9000,2025-05-30
O00060,K0190,E00060,P011,1,11700,2025-02-06
O00061,K0423,E00061,P022,1,4500,2025-06-22
O00062,K0087,E00062,P004,1,11600,2024-03-06
O00063,K0003,E00063,P007,2,54000,2024-12-24
O00064,K0306,E00064,P006,1,26600,2025-01-26
O00065,K0140,E00065,P014,1,27150,2024-11-21
O00066,K0360,E00066,P009,2,8200,2024-08-23
O00067,K0387,E00067,P021,2,53100,2024-06-03
O00068,K0054,E00068,P040,1,11850,2024-10-06
O00069,K0308,E00069,P004,5,58000,2025-01-16
O00070,K0414,E00070,P037,1,4100,2024-03-15
O00071,K0449,E00071,P031,1,11850,2024-06-25
O00072,K0195,E00072,P035,2,54300,2024-02-18
O00073,K0382,E00073,P022,3,13500,2024-12-28
O00074,K0275,E00074,P023,1,3850,2024-07-13
O00075,K0072,E00075,P019,3,34800,2025-06-12
O00076,K0251,E00076,P024,3,35250,2024-04-27
O00077,K0321,E00077,P023,2,7700,2024-03-07
O00078,K0241,E00078,P022,2,9000,2024-11-25
O00079,K0159,E00079,P027,1,26400,2024-06-25
O00080,K0180,E00080,P021,2,53100,2025-06-12
O00081,K0303,E00081,P037,1,4100,2024-10-31
O00082,K0310,E00082,P009,2,8200,2024-06-28
O00083,K0346,E00083,P024,3,35250,2024-11-10
O00084,K0517,E00084,P023,1,3850,2025-07-01
O00085,K0180,E00085,P005,1,11750,2024-08-02
O00086,K0438,E00086,P034,2,54200,2024-07-15
O00087,K0227,E00087,P008,3,11850,2024-08-31
O00088,K0491,E00088,P022,2,9000,2024-05-31
O00089,K0137,E00089,P040,2,23700,2025-04-12
O00090,K0412,E00090,P019,5,58000,2024-05-12
O00091,K0177,E00091,P026,3,33750,2025-03-09
O00092,K0308,E00092,P011,1,11700,2025-02-08
O00093,K0366,E00093,P036,3,12750,2025-06-18
O00094,K0413,E00094,P024,1,11750,2024-05-10
O00095,K0458,E00095,P020,1,26600,2024-08-15
O00096,K0098,E00096,P010,1,11600,2025-06-19
O00097,K0482,E00097,P036,1,4250,2024-06-15
O00098,K0218,E00098,P010,1,11600,2024-01-16
O00099,K0024,E00099,P004,1,11600,2024-11-03
O00100,K0270,E00100,P011,2,23400,2024-12-09
O00101,K0291,E00101,P007,2,54000,2024-05-21
O00102,K0144,E00102,P024,3,35250,2024-08-28
O00103,K0308,E00103,P013,1,27100,2025-03-09
O00104,K0366,E00104,P018,5,58000,2025-02-13
O00105,K0406,E00105,P002,2,9000,2024-11-07
O00106,K0413,E00106,P041,3,81150,2024-04-10
O00107,K0187,E00107,P006,1,26600,2025-03-14
O00108,K0397,E00108,P027,5,132000,2024-04-12
O00109,K0471,E00109,P030,2,7700,2024-03-05
O00110,K0221,E00110,P005,2,23500,2024-07-15
O00111,K0292,E00111,P039,1,11300,2025-02-11
O00112,K0518,E00112,P028,5,132750,2025-05-31
O00113,K0181,E00113,P021,3,79650,2024-03-02
O00114,K0044,E00114,P040,3,35550,2025-06-06
O00115,K0206,E00115,P026,2,22500,2024-04-12
O00116,K0389,E00116,P041,1,27050,2025-04-12
O00117,K0350,E00117,P013,1,27100,2024-08-29
O00118,K0038,E00118,P033,1,11600,2024-09-27
O00119,K0437,E00119,P040,5,59250,2024-02-28
O00120,K0251,E00120,P004,5,58000,2024-11-18
O00121,K0153,E00121,P039,2,22600,2025-03-28
O00122,K0392,E00122,P008,1,3950,2024-12-31
O00123,K0401,E00123,P034,1,27100,2024-09-13
O00124,K0334,E00124,P018,1,11600,2024-07-10
O00125,K0311,E00125,P003,1,11750,2024-12-16
O00126,K0075,E00126,P040,2,23700,2024-07-28
O00127,K0110,E00127,P042,1,26850,2024-12-02
O00128,K0337,E00128,P031,2,23700,2024-08-08
O00129,K0040,E00129,P028,2,53100,2025-04-09
O00130,K0199,E00130,P017,5,56500,2025-02-15
O00131,K0106,E00131,P022,1,4500,2025-05-24
O00132,K0518,E00132,P034,1,27100,2025-02-17
O00133,K0114,E00133,P028,2,53100,2024-08-05
O00134,K0337,E00134,P033,3,34800,2024-06-18
O00135,K0206,E00135,P008,1,3950,2025-04-06
O00136,K0053,E00136,P026,1,11250,2024-03-16
O00137,K0451,E00137,P001,1,4100,2025-06-12
O00138,K0272,E00138,P011,3,35100,2024-03-27
O00139,K0087,E00139,P028,3,79650,2024-04-16
O00140,K0221,E00140,P019,5,58000,2025-02-18
O00141,K0223,E00141,P040,1,11850,2024-05-25
O00142,K0036,E00142,P034,5,135500,2024-11-08
O00143,K0508,E00143,P033,1,11600,2024-05-06
O00144,K0120,E00144,P041,1,27050,2025-05-10
O00145,K0193,E00145,P020,2,53200,2024-08-31
O00146,K0486,E00146,P038,1,11200,2025-02-27
O00147,K0041,E00147,P032,5,57500,2024-04-02
O00148,K0300,E00148,P032,3,34500,2024-02-28
O00149,K0153,E00149,P030,1,3850,2024-08-03
O00150,K0235,E00150,P013,3,81300,2025-02-10
O00151,K0202,E00151,P024,2,23500,2024-09-14
O00152,K0478,E00152,P007,3,81000,2025-06-27
O00153,K0022,E00153,P023,1,3850,2024-12-01
O00154,K0431,E00154,P031,1,11850,2024-04-03
O00155,K0097,E00155,P023,1,3850,2024-03-15
O00156,K0401,E00156,P005,1,11750,2024-05-09
O00157,K0419,E00157,P020,3,79800,2024-03-17
O00158,K0120,E00158,P015,2,8600,2024-03-01
O00159,K0050,E00159,P010,1,11600,2025-02-02
O00160,K0438,E00160,P041,1,27050,2024-08-10
O00161,K0510,E00161,P001,2,8200,2025-03-31
O00162,K0509,E00162,P042,3,80550,2025-01-28
O00163,K0230,E00163,P036,1,4250,2024-08-20
O00164,K0258,E00164,P024,2,23500,2024-07-07
O00165,K0439,E00165,P004,1,11600,2025-01-12
O00166,K0180,E00166,P029,3,11400,2025-04-29
O00167,K0490,E00167,P037,5,20500,2024-10-18
O00168,K0176,E00168,P003,2,23500,2025-03-12
O00169,K0273,E00169,P023,2,7700,2024-04-24
O00170,K0390,E00170,P001,3,12300,2024-05-10
O00171,K0278,E00171,P025,3,35400,2024-05-29
O00172,K0363,E00172,P030,1,3850,2024-04-03
O00173,K0087,E00173,P007,3,81000,2024-08-03
O00174,K0401,E00174,P041,5,135250,2024-12-27
O00175,K0162,E00175,P002,1,4500,2024-12-18
O00176,K0184,E00176,P011,2,23400,2024-06-23
O00177,K0483,E00177,P024,1,11750,2024-03-26
O00178,K0485,E00178,P019,2,23200,2024-12-14
O00179,K0475,E00179,P022,1,4500,2025-01-28
O00180,K0491,E00180,P021,3,79650,2025-04-07
O00181,K0273,E00181,P030,1,3850,2024-06-16
O00182,K0240,E00182,P003,2,23500,2025-04-07
O00183,K0210,E00183,P008,1,3950,2024-03-10
O00184,K0019,E00184,P038,3,33600,2024-03-17
O00185,K0233,E00185,P016,1,4500,2024-07-15
O00186,K0063,E00186,P001,1,4100,2024-12-01
O00187,K0084,E00187,P034,1,27100,2024-12-08
O00188,K0436,E00188,P012,2,23400,2025-02-06
O00189,K0284,E00189,P007,3,81000,2025-06-25
O00190,K0447,E00190,P025,1,11800,2025-04-22
O00191,K0462,E00191,P020,1,26600,2025-05-18
O00192,K0379,E00192,P041,1,27050,2024-05-11
O00193,K0417,E00193,P019,3,34800,2024-09-07
O00194,K0434,E00194,P027,1,26400,2024-02-19
O00195,K0233,E00195,P006,1,26600,2025-01-10
O00196,K0490,E00196,P040,3,35550,2024-08-14
O00197,K0513,E00197,P016,2,9000,2024-09-09
O00198,K0408,E00198,P027,3,79200,2024-10-21
O00199,K0425,E00199,P007,1,27000,2024-07-28
O00200,K0001,E00200,P007,5,135000,2024-12-11
O00201,K0295,E00201,P023,5,19250,2024-11-18
O00202,K0105,E00202,P016,3,13500,2024-09-09
O00203,K0471,E00203,P024,1,11750,2024-11-05
O00204,K0255,E00204,P013,2,54200,2024-07-18
O00205,K0264,E00205,P027,1,26400,2024-07-11
O00206,K0362,E00206,P009,5,20500,2025-04-24
O00207,K0341,E00207,P041,2,54100,2024-07-16
O00208,K0003,E00208,P023,2,7700,2025-03-05
O00209,K0312,E00209,P040,2,23700,2024-02-01
O00210,K0362,E00210,P026,2,22500,2025-05-28
O00211,K0232,E00211,P013,3,81300,2025-03-29
O00212,K0202,E00212,P020,5,133000,2024-04-02
O00213,K0370,E00213,P006,1,26600,2024-03-12
O00214,K0052,E00214,P016,5,22500,2025-02-13
O00215,K0084,E00215,P007,3,81000,2024-08-15
O00216,K0033,E00216,P005,1,11750,2024-08-22
O00217,K0220,E00217,P032,1,11500,2025-03-21
O00218,K0284,E00218,P023,3,11550,2025-02-05
O00219,K0268,E00219,P012,1,11700,2025-06-07
O00220,K0005,E00220,P031,3,35550,2025-02-12
O00221,K0021,E00221,P021,2,53100,2024-10-15
O00222,K0069,E00222,P005,1,11750,2025-04-05
O00223,K0271,E00223,P008,1,3950,2024-06-30
O00224,K0331,E00224,P013,2,54200,2025-06-12
O00225,K0383,E00225,P030,1,3850,2025-05-08
O00226,K0474,E00226,P041,1,27050,2024-09-15
O00227,K0303,E00227,P029,2,7600,2024-07-24
O00228,K0072,E00228,P009,3,12300,2024-05-14
O00229,K0062,E00229,P017,3,33900,2024-09-08
O00230,K0343,E00230,P019,1,11600,2025-01-07
O00231,K0186,E00231,P012,1,11700,2024-07-19
O00232,K0459,E00232,P008,2,7900,2024-06-26
O00233,K0154,E00233,P037,3,12300,2025-05-09
O00234,K0211,E00234,P031,5,59250,2025-03-15
O00235,K0260,E00235,P024,1,11750,2024-04-11
O00236,K0179,E00236,P010,3,34800,2024-12-30
O00237,K0321,E00237,P019,2,23200,2024-08-17
O00238,K0046,E00238,P020,1,26600,2024-08-14
O00239,K0066,E00239,P012,2,23400,2024-04-08
O00240,K0366,E00240,P034,1,27100,2024-02-26
O00241,K0425,E00241,P002,1,4500,2025-02-06
O00242,K0397,E00242,P005,2,23500,2025-06-29
O00243,K0385,E00243,P027,2,52800,2024-07-17
O00244,K0446,E00244,P024,1,11750,2025-01-14
O00245,K0276,E00245,P016,1,4500,2024-09-08
O00246,K0013,E00246,P016,1,4500,2024-03-02
O00247,K0235,E00247,P014,1,27150,2025-07-03
O00248,K0043,E00248,P030,1,3850,2024-11-06
O00249,K0317,E00249,P031,2,23700,2024-02-28
O00250,K0331,E00250,P003,1,11750,2024-04-30
O00251,K0275,E00251,P022,1,4500,2025-05-02
O00252,K0444,E00252,P039,2,22600,2025-02-02
O00253,K0393,E00253,P011,1,11700,2024-04-10
O00254,K0452,E00254,P005,5,58750,2024-10-06
O00255,K0080,E00255,P021,3,79650,2024-09-06
O00256,K0429,E00256,P014,5,135750,2024-12-12
O00257,K0282,E00257,P027,3,79200,2024-10-17
O00258,K0109,E00258,P022,5,22500,2024-06-06
O00259,K0184,E00259,P001,2,8200,2025-04-19
O00260,K0043,E00260,P008,2,7900,2025-02-25
O00261,K0291,E00261,P007,1,27000,2024-02-08
O00262,K0102,E00262,P024,2,23500,2024-11-25
O00263,K0098,E00263,P026,3,33750,2024-09-09
O00264,K0077,E00264,P033,1,11600,2024-08-15
O00265,K0341,E00265,P035,1,27150,2025-07-21
O00266,K0487,E00266,P025,1,11800,2025-01-05
O00267,K0437,E00267,P040,1,11850,2025-02-19
O00268,K0358,E00268,P034,1,27100,2024-04-28
O00269,K0376,E00269,P021,1,26550,2024-04-28
O00270,K0401,E00270,P010,2,23200,2024-03-01
O00271,K0469,E00271,P002,2,9000,2025-02-13
O00272,K0448,E00272,P031,1,11850,2024-09-20
O00273,K0438,E00273,P007,3,81000,2024-04-08
O00274,K0506,E00274,P003,1,11750,2024-08-10
O00275,K0257,E00275,P008,2,7900,2024-11-12
O00276,K0335,E00276,P012,3,35100,2024-03-23
O00277,K0502,E00277,P004,3,34800,2024-04-06
O00278,K0192,E00278,P010,3,34800,2025-04-03
O00279,K0363,E00279,P006,1,26600,2024-04-29
O00280,K0135,E00280,P016,1,4500,2024-08-20
O00281,K0411,E00281,P032,3,34500,2024-07-22
O00282,K0243,E00282,P038,1,11200,2025-01-06
O00283,K0449,E00283,P005,1,11750,2025-05-14
O00284,K0109,E00284,P032,1,11500,2024-07-25
O00285,K0154,E00285,P004,1,11600,2024-05-01
O00286,K0105,E00286,P009,2,8200,2024-07-25
O00287,K0352,E00287,P022,2,9000,2025-03-10
O00288,K0096,E00288,P027,1,26400,2024-10-26
O00289,K0228,E00289,P040,3,35550,2025-04-10
O00290,K0393,E00290,P012,2,23400,2024-11-18
O00291,K0024,E00291,P004,1,11600,2024-07-13
O00292,K0164,E00292,P004,5,58000,2025-01-08
O00293,K0193,E00293,P020,2,53200,2024-10-24
O00294,K0230,E00294,P001,1,4100,2025-06-30
O00295,K0426,E00295,P022,2,9000,2024-11-10
O00296,K0134,E00296,P014,1,27150,2025-03-11
O00297,K0508,E00297,P027,3,79200,2025-03-16
O00298,K0255,E00298,P029,1,3800,2024-07-19
O00299,K0003,E00299,P007,3,81000,2024-05-22
O00300,K0517,E00300,P003,2,23500,2024-10-15
O00301,K0363,E00301,P021,1,26550,2024-08-21
O00302,K0038,E00302,P003,2,23500,2024-10-29
O00303,K0281,E00303,P009,5,20500,2024-11-11
O00304,K0231,E00304,P026,3,33750,2024-03-05
O00305,K0208,E00305,P017,3,33900,2024-06-01
O00306,K0227,E00306,P011,3,35100,2025-06-16
O00307,K0056,E00307,P028,1,26550,2024-05-11
O00308,K0079,E00308,P028,1,26550,2024-01-30
O00309,K0320,E00309,P001,1,4100,2024-09-11
O00310,K0327,E00310,P030,2,7700,2024-06-20
O00311,K0183,E00311,P022,2,9000,2024-01-27
O00312,K0117,E00312,P033,1,11600,2024-12-20
O00313,K0247,E00313,P037,2,8200,2025-06-28
O00314,K0478,E00314,P025,1,11800,2024-02-16
O00315,K0257,E00315,P019,1,11600,2024-11-15
O00316,K0324,E00316,P003,2,23500,2024-09-10
O00317,K0324,E00317,P039,1,11300,2024-08-15
O00318,K0245,E00318,P021,1,26550,2025-01-16
O00319,K0005,E00319,P005,1,11750,2025-06-23
O00320,K0101,E00320,P039,3,33900,2025-06-04
O00321,K0136,E00321,P023,3,11550,2024-11-17
O00322,K0328,E00322,P035,5,135750,2025-04-10
O00323,K0285,E00323,P013,1,27100,2024-07-31
O00324,K0506,E00324,P011,1,11700,2024-07-13
O00325,K0050,E00325,P030,2,7700,2024-05-13
O00326,K0089,E00326,P030,2,7700,2024-08-18
O00327,K0023,E00327,P038,2,22400,2024-03-29
O00328,K0376,E00328,P042,1,26850,2024-09-02
O00329,K0149,E00329,P017,3,33900,2024-11-04
O00330,K0079,E00330,P031,5,59250,2025-02-23
O00331,K0425,E00331,P024,1,11750,2025-01-29
O00332,K0300,E00332,P010,3,34800,2024-08-12
O00333,K0047,E00333,P017,1,11300,2025-01-12
O00334,K0321,E00334,P031,3,35550,2025-03-08
O00335,K0394,E00335,P036,3,12750,2024-04-28
O00336,K0493,E00336,P013,1,27100,2025-05-08
O00337,K0082,E00337,P012,1,11700,2024-04-14
O00338,K0294,E00338,P017,1,11300,2024-09-24
O00339,K0356,E00339,P005,5,58750,2025-01-24
O00340,K0024,E00340,P036,2,8500,2025-04-17
O00341,K0063,E00341,P031,5,59250,2024-03-22
O00342,K0024,E00342,P007,2,54000,2025-05-14
O00343,K0303,E00343,P028,1,26550,2024-03-19
O00344,K0087,E00344,P029,2,7600,2024-05-26
O00345,K0064,E00345,P022,2,9000,2024-05-26
O00346,K0288,E00346,P033,2,23200,2025-05-09
O00347,K0195,E00347,P039,1,11300,2025-05-09
O00348,K0191,E00348,P040,1,11850,2025-01-25
O00349,K0223,E00349,P032,1,11500,2024-08-14
O00350,K0301,E00350,P040,3,35550,2025-01-14
O00351,K0331,E00351,P031,3,35550,2024-06-25
O00352,K0162,E00352,P025,3,35400,2024-02-12
O00353,K0384,E00353,P038,1,11200,2024-06-29
O00354,K0294,E00354,P006,1,26600,2024-06-05
O00355,K0153,E00355,P001,1,4100,2025-04-04
O00356,K0161,E00356,P028,1,26550,2024-03-15
O00357,K0463,E00357,P010,2,23200,2025-01-28
O00358,K0112,E00358,P020,3,79800,2024-10-18
O00359,K0399,E00359,P030,1,3850,2025-03-20
O00360,K0390,E00360,P009,5,20500,2024-02-08
O00361,K0484,E00361,P042,2,53700,2024-08-26
O00362,K0440,E00362,P042,2,53700,2025-01-27
O00363,K0028,E00363,P020,3,79800,2024-08-14
O00364,K0321,E00364,P019,2,23200,2025-04-24
O00365,K0235,E00365,P025,1,11800,2024-11-28
O00366,K0193,E00366,P034,1,27100,2024-08-26
O00367,K0422,E00367,P026,2,22500,2024-06-28
O00368,K0062,E00368,P023,1,3850,2025-01-18
O00369,K0214,E00369,P025,5,59000,2025-03-19
O00370,K0498,E00370,P006,2,53200,2025-04-06
O00371,K0021,E00371,P025,1,11800,2024-09-16
O00372,K0260,E00372,P018,1,11600,2024-06-06
O00373,K0209,E00373,P029,5,19000,2024-08-16
O00374,K0075,E00374,P018,2,23200,2024-10-20
O00375,K0371,E00375,P014,1,27150,2024-10-07
O00376,K0486,E00376,P035,2,54300,2024-05-25
O00377,K0094,E00377,P007,2,54000,2024-03-26
O00378,K0360,E00378,P023,3,11550,2025-02-15
O00379,K0340,E00379,P042,3,80550,2024-07-21
O00380,K0391,E00380,P008,2,7900,2025-02-24
O00381,K0485,E00381,P035,1,27150,2024-11-21
O00382,K0438,E00382,P032,2,23000,2024-11-09
O00383,K0415,E00383,P007,1,27000,2024-12-17
O00384,K0308,E00384,P025,2,23600,2024-11-03
O00385,K0050,E00385,P025,1,11800,2024-08-25
O00386,K0119,E00386,P007,1,27000,2025-04-28
O00387,K0462,E00387,P034,2,54200,2024-02-21
O00388,K0372,E00388,P018,2,23200,2024-08-14
O00389,K0069,E00389,P038,2,22400,2025-02-24
O00390,K0428,E00390,P023,1,3850,2024-07-13
O00391,K0034,E00391,P014,3,81450,2025-01-05
O00392,K0125,E00392,P012,1,11700,2024-03-16
O00393,K0043,E00393,P038,2,22400,2024-03-08
O00394,K0390,E00394,P026,2,22500,2024-07-31
O00395,K0086,E00395,P001,2,8200,2025-04-12
O00396,K0255,E00396,P026,2,22500,2025-05-21
O00397,K0381,E00397,P037,1,4100,2024-08-08
O00398,K0396,E00398,P035,1,27150,2024-04-21
O00399,K0362,E00399,P002,2,9000,2024-05-22
O00400,K0427,E00400,P017,1,11300,2025-02-14
O00401,K0489,E00401,P012,1,11700,2024-10-19
O00402,K0150,E00402,P004,2,23200,2024-10-25
O00403,K0436,E00403,P036,1,4250,2024-06-22
O00404,K0220,E00404,P030,1,3850,2025-06-15
O00405,K0396,E00405,P021,2,53100,2024-06-26
O00406,K0152,E00406,P027,1,26400,2025-07-05
O00407,K0083,E00407,P013,1,27100,2024-11-25
O00408,K0430,E00408,P018,1,11600,2024-04-12
O00409,K0182,E00409,P034,2,54200,2024-01-21
O00410,K0406,E00410,P036,1,4250,2024-06-05
O00411,K0276,E00411,P038,3,33600,2024-12-27
O00412,K0321,E00412,P037,1,4100,2024-06-09
O00413,K0342,E00413,P029,1,3800,2025-06-23
O00414,K0064,E00414,P030,1,3850,2024-06-05
O00415,K0244,E00415,P017,3,33900,2025-01-14
O00416,K0279,E00416,P035,3,81450,2024-10-24
O00417,K0164,E00417,P007,1,27000,2024-10-18
O00418,K0279,E00418,P025,3,35400,2024-06-22
O00419,K0164,E00419,P015,2,8600,2024-03-12
O00420,K0500,E00420,P008,1,3950,2025-05-08
O00421,K0381,E00421,P005,1,11750,2024-03-23
O00422,K0500,E00422,P013,1,27100,2025-05-18
O00423,K0121,E00423,P018,3,34800,2024-05-22
O00424,K0190,E00424,P025,3,35400,2024-09-17
O00425,K0178,E00425,P020,1,26600,2024-02-04
O00426,K0245,E00426,P027,3,79200,2025-03-08
O00427,K0146,E00427,P023,2,7700,2024-07-01
O00428,K0345,E00428,P026,1,11250,2024-04-29
O00429,K0392,E00429,P031,2,23700,2024-07-13
O00430,K0354,E00430,P003,1,11750,2025-03-13
O00431,K0062,E00431,P010,1,11600,2024-07-26
O00432,K0211,E00432,P028,1,26550,2024-07-20
O00433,K0459,E00433,P014,2,54300,2025-05-08
O00434,K0439,E00434,P021,2,53100,2024-12-05
O00435,K0437,E00435,P013,1,27100,2025-06-09
O00436,K0106,E00436,P042,1,26850,2025-01-18
O00437,K0299,E00437,P024,1,11750,2024-03-15
O00438,K0393,E00438,P016,1,4500,2024-06-06
O00439,K0321,E00439,P005,1,11750,2024-06-23
O00440,K0022,E00440,P024,2,23500,2024-06-02
O00441,K0359,E00441,P031,2,23700,2024-12-21
O00442,K0485,E00442,P015,1,4300,2024-06-22
O00443,K0052,E00443,P039,3,33900,2025-03-02
O00444,K0464,E00444,P032,1,11500,2024-10-11
O00445,K0209,E00445,P015,3,12900,2024-05-13
O00446,K0374,E00446,P020,3,79800,2024-12-06
O00447,K0202,E00447,P001,2,8200,2024-11-16
O00448,K0074,E00448,P017,5,56500,2024-04-03
O00449,K0330,E00449,P009,1,4100,2024-12-09
O00450,K0178,E00450,P007,2,54000,2025-01-22
O00451,K0181,E00451,P023,1,3850,2024-06-03
O00452,K0355,E00452,P011,5,58500,2024-08-17
O00453,K0478,E00453,P028,1,26550,2024-06-27
O00454,K0030,E00454,P041,2,54100,2024-11-10
O00455,K0461,E00455,P026,1,11250,2024-06-19
O00456,K0057,E00456,P017,1,11300,2025-06-10
O00457,K0122,E00457,P034,2,54200,2024-03-14
O00458,K0162,E00458,P028,1,26550,2024-02-22
O00459,K0174,E00459,P040,1,11850,2024-02-23
O00460,K0091,E00460,P003,3,35250,2024-12-31
O00461,K0174,E00461,P020,3,79800,2024-12-20
O00462,K0417,E00462,P011,3,35100,2024-02-25
O00463,K0400,E00463,P039,1,11300,2025-03-10
O00464,K0244,E00464,P001,1,4100,2025-03-26
O00465,K0459,E00465,P027,3,79200,2025-05-11
O00466,K0284,E00466,P041,5,135250,2024-06-04
O00467,K0245,E00467,P032,1,11500,2024-11-26
O00468,K0456,E00468,P002,1,4500,2025-03-10
O00469,K0105,E00469,P012,1,11700,2025-03-30
O00470,K0223,E00470,P027,1,26400,2024-09-19
O00471,K0284,E00471,P022,2,9000,2024-11-25
O00472,K0473,E00472,P003,3,35250,2025-03-28
O00473,K0310,E00473,P018,3,34800,2025-01-05
O00474,K0290,E00474,P040,1,11850,2025-06-06
O00475,K0011,E00475,P017,3,33900,2024-08-12
O00476,K0467,E00476,P029,5,19000,2024-04-09
O00477,K0194,E00477,P005,2,23500,2025-07-12
O00478,K0017,E00478,P004,1,11600,2024-04-25
O00479,K0431,E00479,P015,2,8600,2024-07-07
O00480,K0154,E00480,P025,1,11800,2024-02-15
O00481,K0131,E00481,P035,2,54300,2024-10-28
O00482,K0459,E00482,P030,2,7700,2025-03-15
O00483,K0001,E00483,P009,3,12300,2024-03-05
O00484,K0182,E00484,P010,2,23200,2024-08-22
O00485,K0010,E00485,P017,1,11300,2024-05-24
O00486,K0324,E00486,P037,2,8200,2025-04-03
O00487,K0319,E00487,P029,1,3800,2024-05-10
O00488,K0075,E00488,P012,1,11700,2024-09-22
O00489,K0138,E00489,P016,1,4500,2025-05-13
O00490,K0191,E00490,P039,5,56500,2024-04-20
O00491,K0422,E00491,P001,1,4100,2024-12-29
O00492,K0309,E00492,P003,3,35250,2025-05-19
O00493,K0393,E00493,P037,3,12300,2024-11-10
O00494,K0212,E00494,P028,3,79650,2024-12-23
O00495,K0227,E00495,P015,1,4300,2025-02-10
O00496,K0425,E00496,P029,1,3800,2024-12-28
O00497,K0050,E00497,P001,5,20500,2024-12-16
O00498,K0410,E00498,P012,1,11700,2024-09-06
O00499,K0478,E00499,P030,1,3850,2024-03-14
O00500,K0359,E00500,P003,2,23500,2024-02-14
O00501,K0493,E00501,P041,1,27050,2024-06-02
O00502,K0140,E00502,P027,2,52800,2025-01-31
O00503,K0135,E00503,P006,2,53200,2025-04-17
O00504,K0360,E00504,P022,2,9000,2025-01-22
O00505,K0509,E00505,P029,1,3800,2025-04-24
O00506,K0308,E00506,P040,1,11850,2024-04-13
O00507,K0096,E00507,P014,5,135750,2024-10-27
O00508,K0139,E00508,P011,1,11700,2024-08-27
O00509,K0154,E00509,P010,3,34800,2024-10-17
O00510,K0463,E00510,P018,2,23200,2024-12-24
O00511,K0033,E00511,P038,1,11200,2025-04-10
O00512,K0025,E00512,P015,3,12900,2024-05-09
O00513,K0302,E00513,P020,3,79800,2024-11-06
O00514,K0492,E00514,P002,5,22500,2024-05-22
O00515,K0360,E00515,P037,1,4100,2024-06-28
O00516,K0493,E00516,P036,1,4250,2024-06-17
O00517,K0180,E00517,P021,3,79650,2024-10-31
