site_id,customer,climate,dust_level,shift_pattern,altitude_m
S00862,K0086,temperate,medium,1-shift,1080
S00863,K0086,temperate,low,3-shift,620
S00871,K0087,hot,high,2-shift,1250
S00881,K0088,temperate,high,3-shift,180
S00882,K0088,temperate,medium,1-shift,1090
S00891,K0089,temperate,medium,3-shift,1130
S00892,K0089,arctic,high,2-shift,30
S00901,K0090,hot,medium,3-shift,570
S00911,K0091,temperate,high,3-shift,560
S00921,K0092,hot,low,1-shift,140
S00931,K0093,temperate,high,1-shift,550
S00941,K0094,arctic,medium,3-shift,1080
S00942,K0094,temperate,high,3-shift,1790
S00951,K0095,temperate,high,2-shift,50
S00961,K0096,temperate,low,3-shift,1650
S00971,K0097,arctic,low,1-shift,960
S00972,K0097,temperate,medium,2-shift,1260
S00981,K0098,temperate,medium,3-shift,580
S00982,K0098,temperate,medium,3-shift,1030
S00983,K0098,temperate,medium,1-shift,1140
S00991,K0099,arctic,low,2-shift,1180
S01001,K0100,temperate,medium,2-shift,510
S01002,K0100,hot,high,3-shift,1620
S01003,K0100,temperate,medium,1-shift,840
S01011,K0101,arctic,medium,2-shift,1330
S01021,K0102,arctic,high,3-shift,1640
S01031,K0103,arctic,medium,1-shift,1100
S01041,K0104,temperate,medium,3-shift,580
S01051,K0105,hot,high,1-shift,1350
S01052,K0105,hot,medium,3-shift,50
S01053,K0105,hot,high,2-shift,1520
S01061,K0106,temperate,medium,3-shift,150
S01062,K0106,temperate,medium,2-shift,1790
S01063,K0106,hot,high,1-shift,1040
S01071,K0107,hot,medium,3-shift,40
S01081,K0108,temperate,low,2-shift,1270
S01082,K0108,hot,high,3-shift,1620
S01083,K0108,temperate,medium,3-shift,530
S01091,K0109,hot,medium,1-shift,1520
S01101,K0110,temperate,medium,3-shift,1480
S01111,K0111,temperate,medium,3-shift,1370
S01121,K0112,temperate,medium,1-shift,210
S01122,K0112,temperate,high,2-shift,1460
S01123,K0112,temperate,high,3-shift,1130
S01131,K0113,temperate,low,3-shift,1710
S01141,K0114,temperate,medium,2-shift,1200
S01142,K0114,hot,low,3-shift,50
S01151,K0115,temperate,low,3-shift,730
S01161,K0116,temperate,low,3-shift,1420
S01171,K0117,temperate,high,1-shift,1320
S01181,K0118,temperate,medium,1-shift,490
S01191,K0119,hot,medium,3-shift,1000
S01192,K0119,temperate,medium,3-shift,1270
S01201,K0120,arctic,high,3-shift,1210
S01202,K0120,temperate,medium,2-shift,1150
S01211,K0121,hot,low,2-shift,1030
S01221,K0122,hot,low,2-shift,1730
S01222,K0122,temperate,low,3-shift,820
S01231,K0123,temperate,high,1-shift,1450
S01232,K0123,temperate,low,2-shift,1270
S01241,K0124,arctic,medium,3-shift,1070
S01242,K0124,temperate,medium,2-shift,1100
S01251,K0125,temperate,low,1-shift,230
S01261,K0126,hot,low,2-shift,1200
S01271,K0127,temperate,low,1-shift,1460
S01281,K0128,temperate,high,2-shift,860
S01291,K0129,hot,high,1-shift,1580
S01292,K0129,arctic,low,1-shift,840
S01301,K0130,arctic,high,3-shift,1120
S01311,K0131,temperate,medium,1-shift,480
S01312,K0131,temperate,low,1-shift,670
S01313,K0131,temperate,low,1-shift,0
S01321,K0132,hot,low,1-shift,570
S01331,K0133,hot,high,1-shift,1780
S01341,K0134,temperate,medium,2-shift,1020
S01342,K0134,temperate,low,3-shift,230
S01351,K0135,hot,high,2-shift,870
S01352,K0135,temperate,medium,2-shift,1730
S01353,K0135,arctic,medium,2-shift,80
S01361,K0136,temperate,low,3-shift,50
S01362,K0136,hot,low,1-shift,610
S01363,K0136,temperate,high,1-shift,1560
S01371,K0137,hot,medium,2-shift,60
S01372,K0137,hot,medium,2-shift,810
S01381,K0138,temperate,high,2-shift,1720
S01382,K0138,hot,low,2-shift,590
S01391,K0139,temperate,high,3-shift,830
S01401,K0140,hot,low,2-shift,650
S01411,K0141,temperate,low,1-shift,70
S01421,K0142,hot,high,2-shift,990
S01422,K0142,hot,high,1-shift,540
S01431,K0143,arctic,low,1-shift,660
S01441,K0144,temperate,high,2-shift,40
S01451,K0145,temperate,low,1-shift,1710
S01461,K0146,temperate,low,1-shift,1000
S01471,K0147,temperate,medium,2-shift,660
S01481,K0148,temperate,low,2-shift,440
S01491,K0149,temperate,medium,3-shift,30
S01492,K0149,temperate,medium,1-shift,1580
S01493,K0149,temperate,high,1-shift,630
S01501,K0150,hot,low,2-shift,60
S01511,K0151,temperate,low,2-shift,1670
S01521,K0152,temperate,medium,1-shift,20
S01522,K0152,temperate,medium,1-shift,550
S01531,K0153,hot,medium,2-shift,690
S01541,K0154,hot,high,1-shift,1500
S01542,K0154,hot,medium,3-shift,1720
S01551,K0155,arctic,low,2-shift,220
S01552,K0155,temperate,low,3-shift,1020
S01561,K0156,temperate,high,3-shift,1060
S01571,K0157,hot,medium,1-shift,1120
S01581,K0158,hot,high,2-shift,810
S01591,K0159,temperate,medium,1-shift,1330
S01592,K0159,temperate,medium,1-shift,30
S01593,K0159,hot,medium,1-shift,640
S01601,K0160,hot,low,1-shift,100
S01611,K0161,hot,high,1-shift,1500
S01612,K0161,hot,medium,2-shift,1250
S01621,K0162,hot,high,3-shift,1210
S01631,K0163,temperate,high,1-shift,900
S01632,K0163,temperate,high,3-shift,1260
S01641,K0164,temperate,low,1-shift,680
S01642,K0164,temperate,high,3-shift,900
S01643,K0164,temperate,high,1-shift,930
S01651,K0165,hot,low,1-shift,900
S01661,K0166,hot,low,1-shift,1150
S01671,K0167,temperate,high,2-shift,200
S01681,K0168,hot,medium,1-shift,1460
S01691,K0169,temperate,high,1-shift,410
S01701,K0170,hot,medium,2-shift,690
S01702,K0170,temperate,medium,2-shift,640
S01711,K0171,temperate,medium,2-shift,300
S01721,K0172,arctic,medium,1-shift,1500
S01731,K0173,temperate,medium,1-shift,260
S01732,K0173,temperate,medium,2-shift,1460
S01741,K0174,temperate,medium,2-shift,80
S01751,K0175,temperate,high,1-shift,1300
S01761,K0176,hot,medium,2-shift,10
S01771,K0177,hot,medium,1-shift,800
S01781,K0178,hot,low,1-shift,150
S01791,K0179,hot,medium,1-shift,1050
S01801,K0180,hot,high,2-shift,1350
S01802,K0180,hot,medium,1-shift,1780
S01811,K0181,hot,medium,3-shift,390
S01812,K0181,temperate,high,2-shift,770
S01813,K0181,hot,medium,1-shift,1020
S01821,K0182,temperate,medium,2-shift,180
S01822,K0182,temperate,low,1-shift,180
S01831,K0183,temperate,medium,1-shift,1770
S01841,K0184,arctic,low,2-shift,510
S01851,K0185,hot,low,1-shift,590
S01861,K0186,hot,medium,3-shift,920
S01862,K0186,temperate,medium,3-shift,270
S01871,K0187,temperate,medium,2-shift,470
S01872,K0187,temperate,low,1-shift,670
S01881,K0188,temperate,medium,1-shift,680
S01891,K0189,hot,medium,2-shift,1090
S01892,K0189,temperate,medium,2-shift,230
S01901,K0190,temperate,medium,3-shift,70
S01911,K0191,hot,medium,1-shift,450
S01921,K0192,temperate,medium,3-shift,1600
S01931,K0193,temperate,low,1-shift,1720
S01932,K0193,temperate,medium,1-shift,1730
S01941,K0194,hot,low,1-shift,200
S01951,K0195,temperate,high,2-shift,1400
S01961,K0196,temperate,medium,3-shift,1280
S01971,K0197,temperate,high,2-shift,1030
S01981,K0198,temperate,medium,1-shift,1250
S01991,K0199,hot,medium,1-shift,1490
S02001,K0200,arctic,high,1-shift,1140
S02011,K0201,temperate,medium,1-shift,110
S02021,K0202,temperate,medium,3-shift,200
S02022,K0202,hot,high,2-shift,1390
S02031,K0203,temperate,low,1-shift,1430
S02032,K0203,temperate,medium,2-shift,1710
S02041,K0204,hot,low,1-shift,1490
S02051,K0205,temperate,high,2-shift,1500
S02052,K0205,temperate,low,1-shift,1260
S02061,K0206,temperate,low,2-shift,1430
S02062,K0206,arctic,medium,3-shift,1310
S02071,K0207,arctic,high,3-shift,1160
S02081,K0208,hot,medium,3-shift,1240
S02091,K0209,hot,medium,3-shift,180
S02101,K0210,temperate,medium,2-shift,1740
S02111,K0211,temperate,medium,1-shift,1710
S02121,K0212,temperate,high,1-shift,1460
S02131,K0213,temperate,medium,2-shift,1040
S02141,K0214,temperate,medium,3-shift,680
S02142,K0214,temperate,medium,3-shift,1080
S02151,K0215,temperate,low,1-shift,350
S02161,K0216,temperate,medium,1-shift,950
S02171,K0217,temperate,medium,1-shift,270
S02181,K0218,hot,medium,3-shift,650
S02182,K0218,hot,low,3-shift,930
S02191,K0219,hot,high,3-shift,370
S02201,K0220,temperate,high,3-shift,1770
S02202,K0220,temperate,medium,3-shift,1460
S02211,K0221,hot,medium,3-shift,180
S02212,K0221,hot,medium,3-shift,1210
S02221,K0222,temperate,medium,3-shift,1500
S02231,K0223,temperate,medium,3-shift,400
S02232,K0223,temperate,low,3-shift,710
S02241,K0224,temperate,medium,3-shift,1650
S02242,K0224,hot,high,2-shift,770
S02251,K0225,temperate,medium,3-shift,910
S02252,K0225,temperate,low,1-shift,280
S02261,K0226,hot,medium,2-shift,1580
S02271,K0227,temperate,medium,2-shift,510
S02272,K0227,hot,low,2-shift,1270
S02281,K0228,temperate,medium,2-shift,60
S02282,K0228,arctic,low,3-shift,500
S02291,K0229,hot,low,3-shift,1000
S02301,K0230,temperate,medium,1-shift,1170
S02311,K0231,temperate,high,3-shift,1420
S02321,K0232,hot,high,3-shift,850
S02331,K0233,hot,medium,3-shift,530
S02341,K0234,temperate,medium,3-shift,1210
S02351,K0235,temperate,low,2-shift,630
S02352,K0235,arctic,high,3-shift,1370
S02353,K0235,temperate,low,2-shift,890
S02361,K0236,arctic,medium,3-shift,840
S02362,K0236,temperate,high,2-shift,640
S02371,K0237,temperate,high,2-shift,1380
S02381,K0238,hot,low,2-shift,950
S02391,K0239,temperate,low,3-shift,270
S02401,K0240,temperate,high,3-shift,950
S02411,K0241,arctic,medium,3-shift,1720
S02421,K0242,temperate,medium,3-shift,1130
S02422,K0242,hot,medium,3-shift,920
S02431,K0243,hot,medium,3-shift,0
S02441,K0244,hot,high,3-shift,450
S02451,K0245,hot,medium,2-shift,510
S02452,K0245,hot,medium,2-shift,70
S02461,K0246,arctic,low,3-shift,1150
S02462,K0246,arctic,medium,1-shift,1470
S02463,K0246,arctic,medium,3-shift,1390
S02471,K0247,hot,medium,1-shift,1260
S02481,K0248,arctic,low,2-shift,870
S02491,K0249,temperate,high,1-shift,180
S02501,K0250,temperate,high,1-shift,1020
S02511,K0251,hot,low,2-shift,150
S02512,K0251,temperate,low,2-shift,20
S02521,K0252,temperate,medium,1-shift,1690
S02531,K0253,temperate,low,2-shift,640
S02532,K0253,temperate,low,3-shift,810
S02541,K0254,temperate,high,2-shift,350
S02551,K0255,temperate,low,1-shift,590
S02552,K0255,hot,high,2-shift,1790
S02561,K0256,hot,medium,3-shift,1450
S02562,K0256,temperate,high,2-shift,420
S02571,K0257,arctic,high,2-shift,450
S02581,K0258,temperate,medium,1-shift,140
S02591,K0259,temperate,low,2-shift,740
S02592,K0259,temperate,high,3-shift,980
S02601,K0260,temperate,medium,2-shift,400
S02602,K0260,temperate,high,3-shift,730
S02611,K0261,hot,high,3-shift,1070
S02612,K0261,temperate,high,3-shift,1130
S02613,K0261,hot,medium,3-shift,10
S02621,K0262,hot,low,1-shift,460
S02631,K0263,temperate,high,1-shift,420
S02641,K0264,temperate,medium,1-shift,1040
S02651,K0265,temperate,medium,2-shift,290
S02661,K0266,temperate,medium,3-shift,240
S02662,K0266,hot,low,3-shift,540
S02671,K0267,hot,medium,3-shift,10
S02681,K0268,hot,low,1-shift,610
S02691,K0269,temperate,low,2-shift,1500
S02692,K0269,temperate,low,2-shift,350
S02701,K0270,hot,low,2-shift,1690
S02711,K0271,temperate,high,2-shift,1280
S02712,K0271,temperate,medium,1-shift,1780
S02713,K0271,temperate,high,1-shift,1430
S02721,K0272,hot,medium,3-shift,20
S02731,K0273,hot,high,2-shift,1060
S02732,K0273,hot,medium,3-shift,1670
S02741,K0274,temperate,medium,2-shift,580
S02751,K0275,arctic,high,1-shift,210
S02752,K0275,hot,low,1-shift,420
S02761,K0276,hot,low,3-shift,1050
S02771,K0277,hot,low,2-shift,1100
S02781,K0278,hot,low,3-shift,910
S02791,K0279,temperate,high,2-shift,700
S02792,K0279,temperate,medium,2-shift,290
S02801,K0280,hot,medium,3-shift,240
S02811,K0281,temperate,high,2-shift,700
S02821,K0282,arctic,high,1-shift,510
S02831,K0283,temperate,low,1-shift,90
S02841,K0284,hot,low,1-shift,460
S02842,K0284,temperate,high,1-shift,1450
S02843,K0284,hot,low,1-shift,1110
S02851,K0285,hot,medium,1-shift,250
S02861,K0286,temperate,medium,1-shift,430
S02871,K0287,hot,medium,3-shift,1140
S02881,K0288,hot,medium,2-shift,660
S02882,K0288,temperate,low,1-shift,1170
S02891,K0289,temperate,high,3-shift,1530
S02901,K0290,arctic,high,1-shift,920
S02911,K0291,temperate,high,3-shift,1440
S02912,K0291,temperate,medium,1-shift,70
S02913,K0291,temperate,low,1-shift,870
S02921,K0292,arctic,high,2-shift,810
S02922,K0292,hot,medium,2-shift,1210
S02931,K0293,temperate,low,3-shift,890
S02932,K0293,arctic,low,3-shift,710
S02941,K0294,hot,medium,2-shift,1440
S02951,K0295,hot,medium,1-shift,1260
S02961,K0296,temperate,low,2-shift,1460
S02962,K0296,temperate,medium,2-shift,1140
S02963,K0296,temperate,medium,2-shift,170
S02971,K0297,hot,medium,2-shift,1720
S02981,K0298,hot,high,1-shift,1220
S02991,K0299,temperate,medium,3-shift,1400
S03001,K0300,hot,low,1-shift,1550
S03002,K0300,temperate,low,2-shift,100
S03003,K0300,hot,medium,2-shift,310
S03011,K0301,arctic,medium,3-shift,1400
S03021,K0302,temperate,high,1-shift,1020
S03031,K0303,temperate,medium,3-shift,460
S03032,K0303,temperate,high,3-shift,670
S03041,K0304,temperate,high,1-shift,1040
S03042,K0304,temperate,low,3-shift,920
S03051,K0305,temperate,medium,2-shift,900
S03052,K0305,temperate,low,2-shift,100
S03061,K0306,hot,high,3-shift,1150
S03071,K0307,hot,high,2-shift,650
S03081,K0308,temperate,low,1-shift,590
S03082,K0308,temperate,high,1-shift,790
S03083,K0308,hot,high,1-shift,590
S03091,K0309,arctic,medium,2-shift,810
S03092,K0309,temperate,high,2-shift,690
S03101,K0310,hot,low,1-shift,1590
S03102,K0310,hot,high,2-shift,1530
S03111,K0311,hot,low,2-shift,1070
S03121,K0312,hot,low,1-shift,1060
S03122,K0312,temperate,low,3-shift,1460
S03123,K0312,temperate,medium,2-shift,900
S03131,K0313,hot,low,1-shift,540
S03132,K0313,hot,high,1-shift,590
S03133,K0313,temperate,high,1-shift,190
S03141,K0314,arctic,high,3-shift,430
S03142,K0314,arctic,low,3-shift,1590
S03151,K0315,arctic,medium,3-shift,420
S03161,K0316,hot,high,1-shift,1310
S03171,K0317,hot,high,1-shift,820
S03181,K0318,temperate,high,3-shift,530
S03182,K0318,temperate,medium,1-shift,1710
S03191,K0319,arctic,low,1-shift,340
S03192,K0319,temperate,high,2-shift,1690
S03201,K0320,temperate,high,1-shift,570
S03211,K0321,hot,high,3-shift,1560
S03212,K0321,temperate,high,1-shift,1620
S03213,K0321,hot,high,1-shift,540
S03221,K0322,arctic,high,3-shift,410
S03222,K0322,arctic,high,3-shift,840
S03231,K0323,hot,low,3-shift,380
S03241,K0324,hot,high,1-shift,250
S03251,K0325,hot,medium,1-shift,550
S03261,K0326,temperate,high,2-shift,1690
S03271,K0327,hot,medium,3-shift,1240
S03272,K0327,temperate,high,2-shift,920
S03281,K0328,temperate,medium,1-shift,1640
S03291,K0329,temperate,low,1-shift,810
S03301,K0330,temperate,low,3-shift,1070
S03302,K0330,hot,medium,3-shift,660
S03311,K0331,temperate,medium,1-shift,610
S03321,K0332,hot,medium,1-shift,1350
S03331,K0333,temperate,low,3-shift,1360
S03332,K0333,temperate,low,3-shift,580
S03341,K0334,temperate,medium,2-shift,230
S03342,K0334,temperate,medium,3-shift,1550
S03343,K0334,temperate,low,3-shift,1640
S03351,K0335,arctic,medium,2-shift,1640
S03361,K0336,arctic,high,1-shift,1780
S03371,K0337,temperate,medium,3-shift,250
S03372,K0337,arctic,medium,2-shift,940
S03373,K0337,temperate,medium,2-shift,350
S03381,K0338,temperate,low,2-shift,170
S03391,K0339,hot,low,2-shift,690
S03392,K0339,hot,high,2-shift,830
S03401,K0340,hot,low,1-shift,1400
S03411,K0341,hot,high,3-shift,1240
S03412,K0341,hot,medium,2-shift,1020
S03421,K0342,hot,medium,1-shift,570
S03422,K0342,temperate,medium,1-shift,730
S03431,K0343,temperate,high,1-shift,1140
S03441,K0344,hot,high,2-shift,1580
S03451,K0345,arctic,high,3-shift,160
S03461,K0346,hot,low,2-shift,1470
S03471,K0347,temperate,high,1-shift,470
S03481,K0348,hot,medium,1-shift,220
S03491,K0349,temperate,high,2-shift,690
S03492,K0349,temperate,low,1-shift,1590
S03501,K0350,temperate,medium,3-shift,970
S03502,K0350,hot,low,2-shift,90
S03511,K0351,hot,low,2-shift,1370
S03521,K0352,temperate,medium,1-shift,1220
S03522,K0352,temperate,high,2-shift,600
S03523,K0352,hot,medium,1-shift,1580
S03531,K0353,hot,high,3-shift,760
S03541,K0354,hot,high,3-shift,310
S03542,K0354,hot,medium,3-shift,1410
S03551,K0355,temperate,high,1-shift,570
S03552,K0355,temperate,low,1-shift,780
S03553,K0355,temperate,medium,2-shift,1360
S03561,K0356,hot,medium,3-shift,1700
S03562,K0356,hot,high,1-shift,720
S03571,K0357,temperate,high,1-shift,800
S03572,K0357,arctic,low,2-shift,530
S03573,K0357,hot,medium,1-shift,1630
S03581,K0358,temperate,medium,2-shift,1090
S03582,K0358,hot,medium,1-shift,1760
S03583,K0358,temperate,medium,1-shift,310
S03591,K0359,temperate,medium,2-shift,1600
S03592,K0359,arctic,low,3-shift,110
S03601,K0360,hot,medium,2-shift,1720
S03602,K0360,hot,medium,3-shift,610
S03603,K0360,hot,medium,1-shift,100
S03611,K0361,temperate,high,1-shift,550
S03621,K0362,temperate,medium,2-shift,1150
S03622,K0362,hot,medium,2-shift,1510
S03631,K0363,temperate,high,3-shift,1070
S03632,K0363,hot,medium,2-shift,190
S03633,K0363,hot,high,3-shift,1140
S03641,K0364,temperate,low,2-shift,1720
S03651,K0365,temperate,high,2-shift,670
S03661,K0366,temperate,low,1-shift,1040
S03662,K0366,hot,medium,3-shift,1100
S03671,K0367,arctic,low,3-shift,610
S03672,K0367,temperate,low,1-shift,620
S03681,K0368,temperate,low,3-shift,1160
S03682,K0368,temperate,medium,3-shift,520
S03691,K0369,hot,high,1-shift,1140
S03701,K0370,hot,medium,1-shift,1720
S03711,K0371,temperate,high,1-shift,1300
S03712,K0371,arctic,low,1-shift,1300
S03721,K0372,arctic,medium,2-shift,930
S03731,K0373,hot,medium,3-shift,1280
S03741,K0374,hot,medium,1-shift,1630
S03751,K0375,temperate,low,2-shift,1140
S03761,K0376,hot,medium,3-shift,500
S03762,K0376,hot,medium,3-shift,1170
S03771,K0377,temperate,low,3-shift,1420
S03781,K0378,temperate,high,3-shift,440
S03791,K0379,hot,high,3-shift,330
S03792,K0379,hot,low,2-shift,1240
S03801,K0380,hot,high,1-shift,1770
S03802,K0380,temperate,high,2-shift,1250
S03803,K0380,temperate,medium,3-shift,830
S03811,K0381,temperate,medium,3-shift,1690
S03812,K0381,temperate,high,2-shift,460
S03821,K0382,hot,medium,3-shift,80
S03831,K0383,arctic,high,2-shift,1340
S03841,K0384,temperate,medium,1-shift,1570
S03851,K0385,temperate,medium,3-shift,840
S03852,K0385,temperate,high,1-shift,1030
S03853,K0385,arctic,medium,3-shift,610
S03861,K0386,hot,medium,3-shift,1550
S03871,K0387,temperate,medium,2-shift,50
S03881,K0388,temperate,low,3-shift,900
S03891,K0389,hot,medium,3-shift,200
S03892,K0389,temperate,medium,3-shift,1080
S03893,K0389,hot,high,3-shift,1550
S03901,K0390,hot,medium,1-shift,1170
S03902,K0390,temperate,low,1-shift,820
S03911,K0391,temperate,medium,2-shift,1290
S03921,K0392,hot,medium,3-shift,500
S03931,K0393,hot,low,1-shift,1060
S03932,K0393,hot,high,1-shift,910
S03941,K0394,temperate,low,3-shift,490
S03942,K0394,temperate,low,3-shift,1520
S03943,K0394,temperate,medium,3-shift,900
S03951,K0395,hot,low,1-shift,1070
S03961,K0396,hot,high,2-shift,1220
S03971,K0397,temperate,low,1-shift,510
S03972,K0397,temperate,high,2-shift,1440
S03981,K0398,hot,low,3-shift,1280
S03991,K0399,temperate,medium,3-shift,400
S04001,K0400,hot,high,3-shift,370
S04011,K0401,temperate,high,3-shift,1120
S04012,K0401,temperate,medium,3-shift,1570
S04013,K0401,temperate,high,1-shift,1440
S04021,K0402,hot,medium,1-shift,870
S04031,K0403,temperate,high,3-shift,1790
S04041,K0404,hot,medium,1-shift,170
S04051,K0405,temperate,low,1-shift,1500
S04052,K0405,arctic,medium,1-shift,1490
S04061,K0406,hot,low,1-shift,1610
S04071,K0407,arctic,medium,2-shift,1780
S04072,K0407,hot,high,1-shift,450
S04081,K0408,temperate,high,2-shift,1060
S04082,K0408,temperate,high,2-shift,260
S04091,K0409,temperate,low,1-shift,1310
S04101,K0410,temperate,low,1-shift,610
S04102,K0410,hot,medium,1-shift,20
S04103,K0410,hot,medium,1-shift,1170
S04111,K0411,hot,high,1-shift,750
S04121,K0412,arctic,medium,1-shift,900
S04122,K0412,temperate,low,3-shift,160
S04131,K0413,hot,low,2-shift,90
S04141,K0414,temperate,high,1-shift,1090
S04151,K0415,arctic,low,2-shift,150
S04152,K0415,temperate,high,3-shift,910
S04153,K0415,temperate,medium,2-shift,180
S04161,K0416,hot,medium,3-shift,1640
S04162,K0416,hot,high,3-shift,1150
S04171,K0417,temperate,low,2-shift,730
S04172,K0417,temperate,medium,3-shift,750
S04173,K0417,temperate,high,3-shift,180
S04181,K0418,arctic,low,1-shift,1370
S04182,K0418,hot,medium,1-shift,910
S04191,K0419,temperate,medium,1-shift,640
S04192,K0419,hot,medium,2-shift,360
S04201,K0420,temperate,high,1-shift,1060
S04211,K0421,arctic,medium,1-shift,170
S04221,K0422,hot,medium,3-shift,1530
S04222,K0422,hot,high,2-shift,480
