customer_id,name,industry,size_band,country
K0129,Construction AB 129,construction,mid,SE
K0130,Construction Oy 130,construction,small,DE
K0131,Logistics Works 131,logistics,mid,PL
K0132,Construction Group 132,construction,small,AE
K0133,Mining GmbH 133,mining,small,ES
K0134,Mining Works 134,mining,large,PL
K0135,Logistics AB 135,logistics,mid,ES
K0136,Mining Oy 136,mining,mid,DE
K0137,Mining Oy 137,mining,large,AE
K0138,Construction GmbH 138,construction,large,SA
K0139,Mining AB 139,mining,small,DE
K0140,Food Works 140,food,mid,AE
K0141,Food SA 141,food,small,NO
K0142,Mining SA 142,mining,mid,SA
K0143,Construction GmbH 143,construction,large,SE
K0144,Mining SA 144,mining,mid,NO
K0145,Food AB 145,food,small,PL
K0146,Food Oy 146,food,mid,AE
K0147,Construction GmbH 147,construction,small,FI
K0148,Food GmbH 148,food,mid,PL
K0149,Logistics SA 149,logistics,large,DE
K0150,Food Oy 150,food,mid,ES
K0151,Logistics AB 151,logistics,mid,PL
K0152,Construction AB 152,construction,large,PL
K0153,Construction Oy 153,construction,small,MA
K0154,Food Group 154,food,large,SA
K0155,Mining Group 155,mining,mid,FI
K0156,Logistics Group 156,logistics,mid,PL
K0157,Construction SA 157,construction,large,SA
K0158,Construction AB 158,construction,small,AE
K0159,Logistics AB 159,logistics,large,MA
K0160,Logistics SA 160,logistics,large,MA
K0161,Mining Group 161,mining,small,SA
K0162,Food GmbH 162,food,large,MA
K0163,Food Oy 163,food,small,NO
K0164,Mining AB 164,mining,mid,PL
K0165,Logistics GmbH 165,logistics,small,NO
K0166,Construction GmbH 166,construction,mid,MA
K0167,Construction Group 167,construction,large,FI
K0168,Construction SA 168,construction,small,SA
K0169,Construction Oy 169,construction,small,DE
K0170,Construction Group 170,construction,mid,MA
K0171,Construction SA 171,construction,mid,PL
K0172,Logistics Group 172,logistics,mid,SE
K0173,Mining Oy 173,mining,mid,DE
K0174,Construction AB 174,construction,small,AE
K0175,Food Oy 175,food,small,SE
K0176,Food Works 176,food,small,AE
K0177,Logistics GmbH 177,logistics,mid,AE
K0178,Food SA 178,food,small,ES
K0179,Mining AB 179,mining,small,ES
K0180,Logistics GmbH 180,logistics,small,AE
K0181,Construction AB 181,construction,small,AE
K0182,Construction SA 182,construction,large,FI
K0183,Mining Group 183,mining,large,ES
K0184,Logistics Oy 184,logistics,small,NO
K0185,Logistics Works 185,logistics,mid,AE
K0186,Food AB 186,food,small,PL
K0187,Construction Oy 187,construction,mid,FI
K0188,Construction Oy 188,construction,large,MA
K0189,Food GmbH 189,food,small,PL
K0190,Mining Group 190,mining,small,FI
K0191,Construction Works 191,construction,small,AE
K0192,Mining AB 192,mining,small,AE
K0193,Construction Group 193,construction,small,DE
K0194,Construction AB 194,construction,small,MA
K0195,Construction Group 195,construction,small,PL
K0196,Food AB 196,food,small,PL
K0197,Mining Group 197,mining,small,SE
K0198,Food AB 198,food,mid,PL
K0199,Mining GmbH 199,mining,small,MA
K0200,Construction Oy 200,construction,small,SE
K0201,Logistics Group 201,logistics,small,DE
K0202,Construction GmbH 202,construction,small,PL
K0203,Food GmbH 203,food,small,DE
K0204,Logistics SA 204,logistics,small,ES
K0205,Mining Oy 205,mining,large,DE
K0206,Logistics SA 206,logistics,small,FI
K0207,Food Group 207,food,large,ES
K0208,Food Works 208,food,small,AE
K0209,Food AB 209,food,large,FI
K0210,Food Oy 210,food,small,SA
K0211,Construction GmbH 211,construction,small,FI
K0212,Construction AB 212,construction,small,DE
K0213,Construction Group 213,construction,mid,DE
K0214,Food GmbH 214,food,small,FI
K0215,Construction Oy 215,construction,small,ES
K0216,Construction Group 216,construction,mid,PL
K0217,Food Oy 217,food,small,MA
K0218,Food Group 218,food,large,SA
K0219,Construction Group 219,construction,mid,AE
K0220,Logistics GmbH 220,logistics,small,PL
K0221,Food Oy 221,food,small,MA
K0222,Food AB 222,food,small,PL
K0223,Food AB 223,food,small,NO
K0224,Mining AB 224,mining,small,ES
K0225,Food AB 225,food,small,FI
K0226,Food AB 226,food,small,AE
K0227,Mining SA 227,mining,mid,SA
K0228,Logistics AB 228,logistics,small,FI
K0229,Mining SA 229,mining,mid,SE
K0230,Logistics Works 230,logistics,small,MA
K0231,Food GmbH 231,food,large,PL
K0232,Logistics GmbH 232,logistics,small,MA
K0233,Mining GmbH 233,mining,small,MA
K0234,Food Works 234,food,mid,SE
K0235,Logistics GmbH 235,logistics,mid,FI
K0236,Logistics SA 236,logistics,mid,NO
K0237,Construction AB 237,construction,mid,SE
K0238,Logistics AB 238,logistics,small,ES
K0239,Food Oy 239,food,large,SE
K0240,Construction Works 240,construction,mid,DE
K0241,Logistics Group 241,logistics,large,DE
K0242,Food Works 242,food,small,AE
K0243,Mining Works 243,mining,small,MA
K0244,Mining SA 244,mining,small,SE
K0245,Food Works 245,food,mid,SA
K0246,Construction Group 246,construction,small,FI
K0247,Construction GmbH 247,construction,small,ES
K0248,Food GmbH 248,food,small,PL
K0249,Construction GmbH 249,construction,mid,MA
K0250,Construction Works 250,construction,mid,PL
K0251,Logistics AB 251,logistics,small,ES
K0252,Construction SA 252,construction,mid,PL
K0253,Mining Works 253,mining,small,SE
K0254,Food Oy 254,food,small,MA
K0255,Logistics GmbH 255,logistics,small,PL
K0256,Logistics Works 256,logistics,small,MA
K0257,Mining Group 257,mining,small,NO
K0258,Construction Oy 258,construction,large,PL
K0259,Mining AB 259,mining,small,PL
K0260,Mining GmbH 260,mining,large,NO
K0261,Food Oy 261,food,small,SA
K0262,Mining GmbH 262,mining,mid,SA
K0263,Logistics Group 263,logistics,small,FI
K0264,Construction AB 264,construction,large,FI
K0265,Food SA 265,food,mid,DE
K0266,Food GmbH 266,food,small,SA
K0267,Construction GmbH 267,construction,small,AE
K0268,Logistics Works 268,logistics,mid,MA
K0269,Construction AB 269,construction,small,FI
K0270,Logistics GmbH 270,logistics,mid,MA
K0271,Logistics SA 271,logistics,small,NO
K0272,Food AB 272,food,large,FI
K0273,Food GmbH 273,food,small,DE
K0274,Construction GmbH 274,construction,small,DE
K0275,Logistics Group 275,logistics,mid,ES
K0276,Food Group 276,food,mid,MA
K0277,Logistics GmbH 277,logistics,small,MA
K0278,Food Oy 278,food,large,MA
K0279,Mining Works 279,mining,large,DE
K0280,Food Group 280,food,small,AE
K0281,Logistics Group 281,logistics,small,FI
K0282,Mining SA 282,mining,mid,SE
K0283,Construction Works 283,construction,mid,SA
K0284,Construction Works 284,construction,small,DE
K0285,Logistics Works 285,logistics,small,ES
K0286,Mining SA 286,mining,mid,PL
K0287,Mining Oy 287,mining,small,AE
K0288,Food Oy 288,food,small,AE
K0289,Construction GmbH 289,construction,large,DE
K0290,Logistics Works 290,logistics,small,NO
K0291,Construction Oy 291,construction,mid,NO
K0292,Construction SA 292,construction,small,PL
K0293,Mining Works 293,mining,mid,DE
K0294,Construction GmbH 294,construction,mid,DE
K0295,Logistics SA 295,logistics,mid,AE
K0296,Mining GmbH 296,mining,mid,SE
K0297,Logistics SA 297,logistics,small,SA
K0298,Logistics Oy 298,logistics,large,MA
K0299,Mining AB 299,mining,small,DE
K0300,Food Oy 300,food,small,MA
K0301,Mining SA 301,mining,mid,SE
K0302,Food AB 302,food,small,ES
K0303,Mining Group 303,mining,small,DE
K0304,Food GmbH 304,food,large,PL
K0305,Food Oy 305,food,mid,PL
K0306,Logistics Works 306,logistics,small,PL
K0307,Food SA 307,food,small,MA
K0308,Construction Works 308,construction,small,AE
K0309,Food GmbH 309,food,small,FI
K0310,Logistics GmbH 310,logistics,large,MA
K0311,Construction Works 311,construction,small,AE
K0312,Logistics GmbH 312,logistics,small,MA
K0313,Construction Group 313,construction,large,SA
K0314,Food Oy 314,food,small,SE
K0315,Food Works 315,food,mid,NO
K0316,Construction AB 316,construction,small,ES
K0317,Logistics Oy 317,logistics,small,MA
K0318,Food Oy 318,food,small,FI
K0319,Food Oy 319,food,small,FI
K0320,Construction AB 320,construction,mid,DE
K0321,Mining Works 321,mining,large,MA
K0322,Mining Works 322,mining,small,SE
K0323,Food Oy 323,food,small,AE
K0324,Mining Oy 324,mining,large,ES
K0325,Construction Group 325,construction,small,SA
K0326,Construction Works 326,construction,small,SE
K0327,Mining SA 327,mining,large,SA
K0328,Food GmbH 328,food,small,FI
K0329,Construction Oy 329,construction,small,ES
K0330,Food Works 330,food,mid,ES
K0331,Construction GmbH 331,construction,small,ES
K0332,Logistics GmbH 332,logistics,small,SA
K0333,Food SA 333,food,mid,SE
K0334,Mining GmbH 334,mining,mid,SE
K0335,Logistics SA 335,logistics,mid,SE
K0336,Mining AB 336,mining,small,SE
K0337,Food Oy 337,food,small,FI
K0338,Food SA 338,food,small,SE
K0339,Food Group 339,food,large,SA
K0340,Construction AB 340,construction,small,AE
K0341,Mining Oy 341,mining,large,ES
K0342,Construction Works 342,construction,small,AE
K0343,Logistics GmbH 343,logistics,mid,PL
K0344,Mining Oy 344,mining,small,NO
K0345,Food Group 345,food,mid,NO
K0346,Food GmbH 346,food,small,ES
K0347,Mining AB 347,mining,small,MA
K0348,Logistics Works 348,logistics,small,PL
K0349,Construction SA 349,construction,mid,NO
K0350,Construction AB 350,construction,mid,DE
K0351,Food SA 351,food,mid,ES
K0352,Logistics Group 352,logistics,large,SE
K0353,Logistics Oy 353,logistics,large,SA
K0354,Mining SA 354,mining,small,ES
K0355,Logistics Works 355,logistics,mid,PL
K0356,Food Group 356,food,mid,AE
K0357,Logistics Works 357,logistics,small,PL
K0358,Construction Works 358,construction,small,PL
K0359,Construction GmbH 359,construction,small,DE
K0360,Logistics GmbH 360,logistics,large,MA
K0361,Construction AB 361,construction,small,SE
K0362,Mining AB 362,mining,large,DE
K0363,Food AB 363,food,small,ES
K0364,Food AB 364,food,mid,PL
K0365,Logistics Group 365,logistics,small,FI
K0366,Logistics Works 366,logistics,mid,MA
K0367,Construction Works 367,construction,small,SE
K0368,Mining SA 368,mining,mid,SE
K0369,Mining SA 369,mining,mid,SA
K0370,Construction Group 370,construction,small,SA
K0371,Construction GmbH 371,construction,small,SE
K0372,Mining GmbH 372,mining,large,NO
K0373,Mining Oy 373,mining,small,AE
K0374,Construction AB 374,construction,small,DE
K0375,Mining Oy 375,mining,mid,NO
K0376,Mining Oy 376,mining,small,MA
K0377,Logistics GmbH 377,logistics,large,DE
K0378,Mining SA 378,mining,small,DE
K0379,Mining GmbH 379,mining,large,SA
K0380,Logistics GmbH 380,logistics,mid,PL
K0381,Food SA 381,food,mid,FI
K0382,Food AB 382,food,small,PL
K0383,Food Group 383,food,mid,NO
K0384,Logistics SA 384,logistics,large,DE
K0385,Food SA 385,food,small,FI
K0386,Food Works 386,food,mid,MA
K0387,Food AB 387,food,small,SA
K0388,Logistics Oy 388,logistics,large,SE
K0389,Food Group 389,food,small,AE
K0390,Construction SA 390,construction,mid,DE
K0391,Construction Oy 391,construction,small,AE
K0392,Food SA 392,food,small,AE
K0393,Logistics SA 393,logistics,mid,SA
K0394,Food Oy 394,food,mid,DE
K0395,Logistics Oy 395,logistics,mid,MA
K0396,Construction Works 396,construction,small,MA
K0397,Logistics Group 397,logistics,small,DE
K0398,Food GmbH 398,food,mid,MA
K0399,Construction Works 399,construction,small,NO
K0400,Food SA 400,food,mid,DE
K0401,Logistics Works 401,logistics,small,DE
K0402,Construction Group 402,construction,large,ES
K0403,Logistics GmbH 403,logistics,large,SE
K0404,Logistics AB 404,logistics,large,MA
K0405,Construction SA 405,construction,small,NO
K0406,Food GmbH 406,food,small,AE
K0407,Logistics Oy 407,logistics,mid,ES
K0408,Food AB 408,food,mid,DE
K0409,Logistics GmbH 409,logistics,small,PL
K0410,Logistics AB 410,logistics,mid,MA
K0411,Logistics SA 411,logistics,small,MA
K0412,Construction Group 412,construction,large,SE
K0413,Logistics Works 413,logistics,mid,SA
K0414,Food Works 414,food,large,PL
K0415,Food Oy 415,food,mid,PL
K0416,Food GmbH 416,food,small,DE
K0417,Mining AB 417,mining,small,FI
K0418,Construction AB 418,construction,small,SE
K0419,Mining Works 419,mining,mid,DE
K0420,Logistics GmbH 420,logistics,large,FI
K0421,Construction GmbH 421,construction,mid,NO
K0422,Food Group 422,food,small,MA
K0423,Construction GmbH 423,construction,large,MA
K0424,Mining Group 424,mining,mid,AE
K0425,Mining AB 425,mining,mid,MA
K0426,Construction SA 426,construction,mid,DE
K0427,Food SA 427,food,small,DE
K0428,Construction Group 428,construction,mid,PL
K0429,Food Oy 429,food,small,MA
K0430,Logistics GmbH 430,logistics,large,DE
K0431,Construction Works 431,construction,small,MA
K0432,Construction Works 432,construction,small,AE
K0433,Food Oy 433,food,small,SE
K0434,Logistics GmbH 434,logistics,small,MA
K0435,Logistics Group 435,logistics,mid,DE
K0436,Food Oy 436,food,small,NO
K0437,Logistics SA 437,logistics,large,PL
K0438,Logistics AB 438,logistics,small,MA
K0439,Construction Group 439,construction,large,DE
K0440,Mining SA 440,mining,large,SE
K0441,Mining Group 441,mining,small,PL
K0442,Mining AB 442,mining,small,SE
K0443,Logistics AB 443,logistics,small,MA
K0444,Construction Oy 444,construction,mid,PL
K0445,Food AB 445,food,small,PL
K0446,Food AB 446,food,mid,SA
K0447,Logistics SA 447,logistics,large,SE
K0448,Food Oy 448,food,small,PL
K0449,Food Group 449,food,small,FI
K0450,Construction GmbH 450,construction,small,DE
K0451,Construction GmbH 451,construction,mid,NO
K0452,Food Works 452,food,small,PL
K0453,Food AB 453,food,small,ES
K0454,Construction SA 454,construction,small,AE
K0455,Logistics Group 455,logistics,small,DE
K0456,Construction Oy 456,construction,large,SA
K0457,Logistics Oy 457,logistics,small,AE
K0458,Mining SA 458,mining,small,SE
K0459,Logistics GmbH 459,logistics,mid,ES
K0460,Food Works 460,food,small,SE
K0461,Logistics SA 461,logistics,small,MA
K0462,Logistics AB 462,logistics,mid,FI
K0463,Construction SA 463,construction,large,SE
K0464,Construction SA 464,construction,large,AE
K0465,Logistics SA 465,logistics,small,MA
K0466,Mining AB 466,mining,small,AE
K0467,Construction Oy 467,construction,small,DE
K0468,Construction GmbH 468,construction,small,FI
K0469,Logistics AB 469,logistics,small,PL
K0470,Logistics GmbH 470,logistics,mid,DE
K0471,Logistics GmbH 471,logistics,small,SA
K0472,Food Oy 472,food,small,MA
K0473,Mining Group 473,mining,mid,ES
K0474,Food Works 474,food,mid,AE
K0475,Food Group 475,food,large,PL
K0476,Food GmbH 476,food,mid,NO
K0477,Logistics Works 477,logistics,mid,SE
K0478,Construction SA 478,construction,small,MA
K0479,Mining Works 479,mining,mid,ES
K0480,Mining Oy 480,mining,small,AE
K0481,Logistics Works 481,logistics,small,FI
K0482,Mining SA 482,mining,small,ES
K0483,Construction Works 483,construction,small,PL
K0484,Logistics GmbH 484,logistics,large,AE
K0485,Mining SA 485,mining,large,FI
K0486,Mining Works 486,mining,large,MA
K0487,Logistics Works 487,logistics,small,PL
K0488,Construction AB 488,construction,large,NO
K0489,Mining Works 489,mining,small,MA
K0490,Food Group 490,food,small,AE
K0491,Food Works 491,food,mid,FI
K0492,Food AB 492,food,mid,DE
K0493,Logistics Group 493,logistics,large,FI
K0494,Food SA 494,food,small,FI
K0495,Construction GmbH 495,construction,small,ES
K0496,Mining SA 496,mining,small,SE
K0497,Logistics Works 497,logistics,mid,SA
K0498,Construction Works 498,construction,large,PL
K0499,Construction SA 499,construction,mid,SA
K0500,Food Group 500,food,small,FI
K0501,Food SA 501,food,large,AE
K0502,Mining Oy 502,mining,large,DE
K0503,Food Group 503,food,mid,SE
K0504,Logistics SA 504,logistics,small,AE
K0505,Mining GmbH 505,mining,small,SA
K0506,Food Group 506,food,mid,AE
K0507,Construction SA 507,construction,mid,MA
K0508,Mining SA 508,mining,small,FI
K0509,Food AB 509,food,small,PL
K0510,Logistics SA 510,logistics,large,MA
K0511,Mining Works 511,mining,mid,AE
K0512,Food Works 512,food,small,SA
K0513,Logistics Oy 513,logistics,small,NO
K0514,Logistics SA 514,logistics,mid,SA
K0515,Mining GmbH 515,mining,small,SA
K0516,Logistics SA 516,logistics,small,PL
K0517,Food AB 517,food,mid,AE
K0518,Construction AB 518,construction,mid,MA
K0519,Mining SA 519,mining,small,SA
K0520,Mining Group 520,mining,small,DE
