reorder_id,install,period,reordered
R00070,I00070,2025-Q2,true
R00071,I00071,2025-Q3,true
R00072,I00072,2025-Q2,true
R00073,I00073,2026-Q1,false
R00074,I00074,2025-Q4,true
R00075,I00075,2026-Q3,true
R00076,I00076,2025-Q2,true
R00077,I00077,2025-Q2,false
R00078,I00078,2026-Q1,true
R00079,I00079,2025-Q3,true
R00080,I00080,2026-Q3,false
R00081,I00081,2025-Q4,true
R00082,I00082,2025-Q3,true
R00083,I00083,2026-Q1,true
R00084,I00084,2026-Q3,true
R00085,I00085,2025-Q4,false
R00086,I00086,2025-Q4,true
R00087,I00087,2025-Q4,false
R00088,I00088,2025-Q3,false
R00089,I00089,2026-Q2,true
R00090,I00090,2025-Q3,true
R00091,I00091,2026-Q2,true
R00092,I00092,2026-Q1,false
R00093,I00093,2026-Q3,false
R00094,I00094,2025-Q3,false
R00095,I00095,2025-Q4,true
R00096,I00096,2026-Q3,true
R00097,I00097,2025-Q3,true
R00098,I00098,2025-Q2,false
R00099,I00099,2025-Q4,false
R00100,I00100,2026-Q1,true
R00101,I00101,2025-Q3,true
R00102,I00102,2025-Q4,true
R00103,I00103,2026-Q2,true
R00104,I00104,2026-Q2,true
R00105,I00105,2026-Q1,true
R00106,I00106,2025-Q2,true
R00107,I00107,2026-Q2,true
R00108,I00108,2025-Q3,true
R00109,I00109,2025-Q2,true
R00110,I00110,2025-Q3,true
R00111,I00111,2026-Q2,false
R00112,I00112,2026-Q3,true
R00113,I00113,2025-Q2,true
R00114,I00114,2026-Q3,true
R00115,I00115,2025-Q2,true
R00116,I00116,2026-Q2,false
R00117,I00117,2025-Q4,true
R00118,I00118,2025-Q4,true
R00119,I00119,2025-Q2,true
R00120,I00120,2026-Q1,true
R00121,I00121,2026-Q2,true
R00122,I00122,2026-Q1,false
R00123,I00123,2025-Q4,true
R00124,I00124,2025-Q3,false
R00125,I00125,2026-Q1,false
R00126,I00126,2025-Q3,true
R00127,I00127,2026-Q1,true
R00128,I00128,2025-Q4,true
R00129,I00129,2026-Q2,true
R00130,I00130,2026-Q1,false
R00131,I00131,2026-Q3,true
R00132,I00132,2026-Q2,true
R00133,I00133,2025-Q3,true
R00134,I00134,2025-Q3,true
R00135,I00135,2026-Q2,true
R00136,I00136,2025-Q2,true
R00137,I00137,2026-Q3,true
R00138,I00138,2025-Q2,true
R00139,I00139,2025-Q2,false
R00140,I00140,2026-Q2,true
R00141,I00141,2025-Q3,false
R00142,I00142,2026-Q1,true
R00143,I00143,2025-Q3,true
R00144,I00144,2026-Q2,true
R00145,I00145,2025-Q4,true
R00146,I00146,2026-Q2,false
R00147,I00147,2025-Q2,true
R00148,I00148,2025-Q2,true
R00149,I00149,2025-Q4,false
R00150,I00150,2026-Q2,true
R00151,I00151,2025-Q4,true
R00152,I00152,2026-Q3,false
R00153,I00153,2026-Q1,false
R00154,I00154,2025-Q2,true
R00155,I00155,2025-Q2,true
R00156,I00156,2025-Q3,true
R00157,I00157,2025-Q2,true
R00158,I00158,2025-Q2,true
R00159,I00159,2026-Q1,true
R00160,I00160,2025-Q4,true
R00161,I00161,2026-Q2,false
R00162,I00162,2026-Q2,true
R00163,I00163,2025-Q4,true
R00164,I00164,2025-Q3,true
R00165,I00165,2026-Q1,true
R00166,I00166,2026-Q2,true
R00167,I00167,2026-Q1,true
R00168,I00168,2026-Q2,true
R00169,I00169,2025-Q2,true
R00170,I00170,2025-Q3,false
R00171,I00171,2025-Q3,true
R00172,I00172,2025-Q3,false
R00173,I00173,2025-Q4,true
R00174,I00174,2026-Q1,false
R00175,I00175,2026-Q1,true
R00176,I00176,2025-Q3,true
R00177,I00177,2025-Q2,false
R00178,I00178,2026-Q1,true
R00179,I00179,2026-Q1,false
R00180,I00180,2026-Q2,true
R00181,I00181,2025-Q3,false
R00182,I00182,2026-Q2,false
R00183,I00183,2025-Q2,true
R00184,I00184,2025-Q2,true
R00185,I00185,2025-Q4,true
R00186,I00186,2026-Q1,true
R00187,I00187,2026-Q1,true
R00188,I00188,2026-Q2,true
R00189,I00189,2026-Q3,false
R00190,I00190,2026-Q3,true
R00191,I00191,2026-Q3,true
R00192,I00192,2025-Q3,true
R00193,I00193,2025-Q4,true
R00194,I00194,2025-Q2,true
R00195,I00195,2026-Q2,true
R00196,I00196,2025-Q4,true
R00197,I00197,2025-Q4,true
R00198,I00198,2025-Q4,true
R00199,I00199,2025-Q4,true
R00200,I00200,2026-Q1,true
R00201,I00201,2026-Q1,true
R00202,I00202,2025-Q4,true
R00203,I00203,2025-Q4,true
R00204,I00204,2025-Q4,true
R00205,I00205,2025-Q3,false
R00206,I00206,2026-Q3,true
R00207,I00207,2025-Q4,true
R00208,I00208,2026-Q2,false
R00209,I00209,2025-Q2,false
R00210,I00210,2026-Q3,true
R00211,I00211,2026-Q2,true
R00212,I00212,2025-Q2,true
R00213,I00213,2025-Q2,true
R00214,I00214,2026-Q2,true
R00215,I00215,2025-Q4,true
R00216,I00216,2025-Q4,true
R00217,I00217,2026-Q2,true
R00218,I00218,2026-Q2,true
R00219,I00219,2026-Q3,true
R00220,I00220,2026-Q2,true
R00221,I00221,2025-Q4,false
R00222,I00222,2026-Q2,true
R00223,I00223,2025-Q3,false
R00224,I00224,2026-Q3,true
R00225,I00225,2026-Q2,false
R00226,I00226,2025-Q4,false
R00227,I00227,2025-Q4,false
R00228,I00228,2025-Q3,true
R00229,I00229,2025-Q4,true
R00230,I00230,2026-Q1,true
R00231,I00231,2025-Q3,true
R00232,I00232,2025-Q3,true
R00233,I00233,2026-Q3,true
R00234,I00234,2026-Q2,true
R00235,I00235,2025-Q2,false
R00236,I00236,2026-Q1,true
R00237,I00237,2025-Q4,true
R00238,I00238,2025-Q3,false
R00239,I00239,2025-Q2,true
R00240,I00240,2025-Q2,false
R00241,I00241,2026-Q2,true
R00242,I00242,2026-Q3,true
R00243,I00243,2025-Q4,true
R00244,I00244,2026-Q1,true
R00245,I00245,2025-Q4,true
R00246,I00246,2025-Q2,true
R00247,I00247,2026-Q3,true
R00248,I00248,2026-Q1,true
R00249,I00249,2025-Q2,true
R00250,I00250,2025-Q3,false
R00251,I00251,2026-Q3,true
R00252,I00252,2026-Q2,true
R00253,I00253,2025-Q2,false
R00254,I00254,2025-Q4,true
R00255,I00255,2025-Q4,true
R00256,I00256,2026-Q1,true
R00257,I00257,2025-Q4,true
R00258,I00258,2025-Q3,true
R00259,I00259,2026-Q2,true
R00260,I00260,2026-Q2,true
R00261,I00261,2025-Q2,true
R00262,I00262,2026-Q1,true
R00263,I00263,2025-Q4,true
R00264,I00264,2025-Q3,true
R00265,I00265,2026-Q4,true
R00266,I00266,2026-Q1,true
R00267,I00267,2026-Q2,true
R00268,I00268,2025-Q3,true
R00269,I00269,2025-Q2,true
R00270,I00270,2025-Q2,true
R00271,I00271,2026-Q2,true
R00272,I00272,2025-Q4,true
R00273,I00273,2025-Q2,true
R00274,I00274,2025-Q3,true
R00275,I00275,2025-Q4,true
R00276,I00276,2025-Q2,true
R00277,I00277,2025-Q2,true
R00278,I00278,2026-Q2,true
R00279,I00279,2025-Q3,true
R00280,I00280,2025-Q4,false
R00281,I00281,2025-Q3,true
R00282,I00282,2026-Q1,false
R00283,I00283,2026-Q3,true
R00284,I00284,2025-Q3,true
R00285,I00285,2025-Q2,true
R00286,I00286,2025-Q4,true
R00287,I00287,2026-Q2,true
R00288,I00288,2026-Q1,true
R00289,I00289,2026-Q2,true
R00290,I00290,2026-Q1,true
R00291,I00291,2025-Q3,true
R00292,I00292,2026-Q1,true
R00293,I00293,2026-Q1,false
R00294,I00294,2026-Q3,true
R00295,I00295,2026-Q1,false
R00296,I00296,2026-Q2,true
R00297,I00297,2026-Q2,true
R00298,I00298,2025-Q4,true
R00299,I00299,2025-Q3,true
R00300,I00300,2025-Q4,true
R00301,I00301,2025-Q4,false
R00302,I00302,2025-Q4,true
R00303,I00303,2026-Q1,true
R00304,I00304,2025-Q2,true
R00305,I00305,2025-Q3,true
R00306,I00306,2026-Q3,true
R00307,I00307,2025-Q3,true
R00308,I00308,2025-Q2,true
R00309,I00309,2025-Q4,true
R00310,I00310,2025-Q3,true
R00311,I00311,2025-Q2,true
R00312,I00312,2026-Q1,false
R00313,I00313,2026-Q3,true
R00314,I00314,2025-Q2,true
R00315,I00315,2026-Q1,true
R00316,I00316,2025-Q4,true
R00317,I00317,2025-Q4,false
R00318,I00318,2026-Q2,true
R00319,I00319,2026-Q3,true
R00320,I00320,2026-Q3,true
R00321,I00321,2026-Q1,false
R00322,I00322,2026-Q2,false
R00323,I00323,2025-Q3,false
R00324,I00324,2025-Q3,true
R00325,I00325,2025-Q2,true
R00326,I00326,2025-Q4,true
R00327,I00327,2025-Q2,true
R00328,I00328,2025-Q4,true
R00329,I00329,2026-Q1,true
R00330,I00330,2026-Q2,true
R00331,I00331,2026-Q1,false
R00332,I00332,2025-Q4,true
R00333,I00333,2026-Q1,true
R00334,I00334,2026-Q2,false
R00335,I00335,2025-Q2,false
R00336,I00336,2026-Q3,true
R00337,I00337,2025-Q2,true
R00338,I00338,2025-Q4,false
R00339,I00339,2026-Q1,false
R00340,I00340,2026-Q3,true
R00341,I00341,2025-Q2,true
R00342,I00342,2026-Q3,true
R00343,I00343,2025-Q2,false
R00344,I00344,2025-Q3,true
R00345,I00345,2025-Q3,false
R00346,I00346,2026-Q3,true
R00347,I00347,2026-Q3,true
R00348,I00348,2026-Q2,false
R00349,I00349,2025-Q4,true
R00350,I00350,2026-Q2,false
R00351,I00351,2025-Q3,true
R00352,I00352,2025-Q2,true
R00353,I00353,2025-Q3,true
R00354,I00354,2025-Q3,true
R00355,I00355,2026-Q2,true
R00356,I00356,2025-Q2,true
R00357,I00357,2026-Q2,true
R00358,I00358,2026-Q1,false
R00359,I00359,2026-Q2,true
R00360,I00360,2025-Q2,true
R00361,I00361,2025-Q4,false
R00362,I00362,2026-Q2,true
R00363,I00363,2025-Q4,true
R00364,I00364,2026-Q2,true
R00365,I00365,2026-Q1,true
R00366,I00366,2025-Q4,true
R00367,I00367,2025-Q3,true
R00368,I00368,2026-Q2,true
R00369,I00369,2026-Q2,false
R00370,I00370,2026-Q2,true
R00371,I00371,2025-Q4,true
R00372,I00372,2025-Q3,true
R00373,I00373,2025-Q4,false
R00374,I00374,2026-Q1,true
R00375,I00375,2025-Q4,true
R00376,I00376,2025-Q3,true
R00377,I00377,2025-Q2,true
R00378,I00378,2026-Q2,true
R00379,I00379,2025-Q4,true
R00380,I00380,2026-Q2,false
R00381,I00381,2026-Q1,true
R00382,I00382,2025-Q4,true
R00383,I00383,2026-Q1,false
R00384,I00384,2025-Q4,true
R00385,I00385,2025-Q4,true
R00386,I00386,2026-Q2,true
R00387,I00387,2025-Q2,true
R00388,I00388,2025-Q4,true
R00389,I00389,2026-Q2,true
R00390,I00390,2025-Q3,true
R00391,I00391,2026-Q1,true
R00392,I00392,2025-Q2,true
R00393,I00393,2025-Q2,true
R00394,I00394,2025-Q4,true
R00395,I00395,2026-Q3,true
R00396,I00396,2026-Q3,true
R00397,I00397,2025-Q3,false
R00398,I00398,2025-Q2,true
R00399,I00399,2025-Q3,true
R00400,I00400,2026-Q2,true
R00401,I00401,2026-Q1,true
R00402,I00402,2026-Q1,true
R00403,I00403,2025-Q3,true
R00404,I00404,2026-Q3,true
R00405,I00405,2025-Q3,true
R00406,I00406,2026-Q3,true
R00407,I00407,2026-Q1,false
R00408,I00408,2025-Q2,true
R00409,I00409,2025-Q1,true
R00410,I00410,2025-Q3,false
R00411,I00411,2026-Q1,false
R00412,I00412,2025-Q3,true
R00413,I00413,2026-Q3,true
R00414,I00414,2025-Q3,true
R00415,I00415,2026-Q2,true
R00416,I00416,2025-Q4,true
R00417,I00417,2025-Q4,true
R00418,I00418,2025-Q3,true
R00419,I00419,2025-Q2,true
R00420,I00420,2026-Q3,false
R00421,I00421,2025-Q2,true
R00422,I00422,2026-Q3,true
R00423,I00423,2025-Q3,true
R00424,I00424,2025-Q4,false
R00425,I00425,2025-Q2,false
R00426,I00426,2026-Q2,true
R00427,I00427,2025-Q3,true
R00428,I00428,2025-Q3,true
R00429,I00429,2025-Q3,true
R00430,I00430,2026-Q2,false
R00431,I00431,2025-Q3,true
R00432,I00432,2025-Q3,true
R00433,I00433,2026-Q2,true
R00434,I00434,2026-Q1,true
R00435,I00435,2026-Q3,true
R00436,I00436,2026-Q1,true
R00437,I00437,2025-Q2,true
R00438,I00438,2025-Q3,true
R00439,I00439,2025-Q3,true
R00440,I00440,2025-Q3,true
R00441,I00441,2026-Q1,true
R00442,I00442,2025-Q3,false
R00443,I00443,2026-Q2,true
R00444,I00444,2025-Q4,true
R00445,I00445,2025-Q3,true
R00446,I00446,2026-Q1,true
R00447,I00447,2026-Q1,true
R00448,I00448,2025-Q2,true
R00449,I00449,2026-Q1,true
R00450,I00450,2026-Q2,true
R00451,I00451,2025-Q3,true
R00452,I00452,2025-Q4,true
R00453,I00453,2025-Q3,true
R00454,I00454,2026-Q1,true
R00455,I00455,2025-Q3,true
R00456,I00456,2026-Q3,true
R00457,I00457,2025-Q2,false
R00458,I00458,2025-Q2,true
R00459,I00459,2025-Q2,true
R00460,I00460,2026-Q1,false
R00461,I00461,2026-Q1,true
R00462,I00462,2025-Q2,true
R00463,I00463,2026-Q2,true
R00464,I00464,2026-Q2,true
R00465,I00465,2026-Q3,true
R00466,I00466,2025-Q3,true
R00467,I00467,2026-Q1,true
R00468,I00468,2026-Q2,true
R00469,I00469,2026-Q2,true
R00470,I00470,2025-Q4,true
R00471,I00471,2026-Q1,false
R00472,I00472,2026-Q2,false
R00473,I00473,2026-Q1,true
R00474,I00474,2026-Q3,true
R00475,I00475,2025-Q4,true
R00476,I00476,2025-Q2,true
R00477,I00477,2026-Q3,true
R00478,I00478,2025-Q3,false
R00479,I00479,2025-Q3,true
R00480,I00480,2025-Q2,true
R00481,I00481,2026-Q1,false
R00482,I00482,2026-Q2,true
R00483,I00483,2025-Q2,true
R00484,I00484,2025-Q4,true
R00485,I00485,2025-Q3,true
R00486,I00486,2026-Q2,false
R00487,I00487,2025-Q2,true
R00488,I00488,2025-Q4,true
R00489,I00489,2026-Q3,false
R00490,I00490,2025-Q3,true
R00491,I00491,2026-Q1,true
R00492,I00492,2026-Q3,true
R00493,I00493,2026-Q1,true
R00494,I00494,2026-Q1,true
R00495,I00495,2026-Q2,false
R00496,I00496,2026-Q1,true
R00497,I00497,2026-Q1,false
R00498,I00498,2025-Q4,false
R00499,I00499,2025-Q2,true
R00500,I00500,2025-Q2,true
R00501,I00501,2025-Q3,true
R00502,I00502,2026-Q1,true
R00503,I00503,2026-Q2,true
R00504,I00504,2026-Q1,false
R00505,I00505,2026-Q3,true
R00506,I00506,2025-Q3,true
R00507,I00507,2026-Q1,true
R00508,I00508,2025-Q4,true
R00509,I00509,2026-Q1,false
R00510,I00510,2026-Q1,true
R00511,I00511,2026-Q2,false
R00512,I00512,2025-Q3,false
R00513,I00513,2026-Q1,true
R00514,I00514,2025-Q3,true
R00515,I00515,2025-Q3,false
R00516,I00516,2025-Q3,false
R00517,I00517,2026-Q1,true
R00518,I00518,2025-Q2,true
R00519,I00519,2025-Q4,false
R00520,I00520,2026-Q3,true
R00521,I00521,2026-Q2,false
R00522,I00522,2026-Q2,false
R00523,I00523,2025-Q4,true
R00524,I00524,2026-Q3,false
R00525,I00525,2025-Q4,true
R00526,I00526,2026-Q1,true
R00527,I00527,2026-Q1,true
R00528,I00528,2025-Q3,false
R00529,I00529,2025-Q3,true
R00530,I00530,2026-Q3,true
R00531,I00531,2026-Q3,true
R00532,I00532,2026-Q3,false
R00533,I00533,2025-Q2,true
R00534,I00534,2026-Q2,true
R00535,I00535,2026-Q1,true
R00536,I00536,2025-Q2,true
R00537,I00537,2026-Q2,true
R00538,I00538,2025-Q3,true
R00539,I00539,2026-Q1,true
R00540,I00540,2025-Q3,true
R00541,I00541,2026-Q3,true
R00542,I00542,2026-Q1,true
R00543,I00543,2025-Q4,true
R00544,I00544,2025-Q4,true
R00545,I00545,2025-Q2,true
R00546,I00546,2026-Q1,true
R00547,I00547,2026-Q2,true
R00548,I00548,2026-Q3,true
R00549,I00549,2026-Q2,true
R00550,I00550,2026-Q1,true
R00551,I00551,2026-Q1,true
R00552,I00552,2026-Q1,false
R00553,I00553,2026-Q2,true
R00554,I00554,2026-Q1,false
R00555,I00555,2025-Q4,true
R00556,I00556,2025-Q2,true
R00557,I00557,2025-Q3,true
R00558,I00558,2026-Q2,false
R00559,I00559,2026-Q2,true
R00560,I00560,2026-Q2,true
R00561,I00561,2025-Q3,true
R00562,I00562,2025-Q3,true
R00563,I00563,2025-Q2,true
R00564,I00564,2025-Q4,true
R00565,I00565,2026-Q1,true
R00566,I00566,2026-Q2,true
R00567,I00567,2025-Q2,false
R00568,I00568,2025-Q2,true
R00569,I00569,2026-Q2,true
R00570,I00570,2025-Q4,true
R00571,I00571,2025-Q2,true
R00572,I00572,2026-Q1,false
R00573,I00573,2026-Q3,false
R00574,I00574,2025-Q3,true
R00575,I00575,2025-Q4,true
R00576,I00576,2025-Q3,true
R00577,I00577,2026-Q1,false
R00578,I00578,2025-Q2,true
R00579,I00579,2025-Q4,true
R00580,I00580,2025-Q2,true
R00581,I00581,2026-Q3,true
R00582,I00582,2026-Q3,false
R00583,I00583,2026-Q2,true
R00584,I00584,2026-Q2,true
R00585,I00585,2025-Q1,true
R00586,I00586,2025-Q3,true
R00587,I00587,2025-Q4,false
R00588,I00588,2026-Q2,false
R00589,I00589,2025-Q4,true
R00590,I00590,2026-Q1,true
R00591,I00591,2025-Q2,true
R00592,I00592,2025-Q3,true
R00593,I00593,2026-Q3,true
R00594,I00594,2026-Q3,true
R00595,I00595,2025-Q3,true
R00596,I00596,2026-Q2,true
R00597,I00597,2025-Q2,true
R00598,I00598,2026-Q1,true
R00599,I00599,2025-Q2,true
R00600,I00600,2025-Q3,false
R00601,I00601,2026-Q3,false
R00602,I00602,2025-Q2,false
R00603,I00603,2025-Q4,true
R00604,I00604,2026-Q3,true
R00605,I00605,2026-Q3,true
R00606,I00606,2026-Q2,true
R00607,I00607,2026-Q3,true
R00608,I00608,2026-Q2,false
R00609,I00609,2025-Q4,true
R00610,I00610,2026-Q2,true
R00611,I00611,2026-Q1,true
R00612,I00612,2025-Q2,false
R00613,I00613,2025-Q2,true
R00614,I00614,2025-Q4,true
R00615,I00615,2025-Q4,true
R00616,I00616,2026-Q1,true
R00617,I00617,2025-Q2,true
R00618,I00618,2025-Q4,true
R00619,I00619,2025-Q4,true
R00620,I00620,2025-Q2,true
R00621,I00621,2026-Q1,false
R00622,I00622,2025-Q2,true
R00623,I00623,2025-Q3,false
R00624,I00624,2025-Q2,true
R00625,I00625,2025-Q2,false
R00626,I00626,2025-Q4,false
R00627,I00627,2025-Q2,true
R00628,I00628,2026-Q2,true
R00629,I00629,2025-Q4,true
R00630,I00630,2025-Q3,true
R00631,I00631,2025-Q2,true
R00632,I00632,2026-Q3,true
R00633,I00633,2026-Q2,true
R00634,I00634,2026-Q1,true
R00635,I00635,2026-Q2,true
R00636,I00636,2025-Q4,true
R00637,I00637,2026-Q1,true
R00638,I00638,2025-Q4,true
R00639,I00639,2026-Q1,true
R00640,I00640,2026-Q1,true
R00641,I00641,2025-Q2,true
R00642,I00642,2025-Q4,true
R00643,I00643,2025-Q3,true
R00644,I00644,2025-Q4,true
R00645,I00645,2026-Q2,true
R00646,I00646,2026-Q1,false
R00647,I00647,2025-Q3,true
R00648,I00648,2026-Q2,true
R00649,I00649,2026-Q2,true
R00650,I00650,2025-Q4,true
R00651,I00651,2026-Q1,false
R00652,I00652,2026-Q1,true
R00653,I00653,2025-Q2,true
R00654,I00654,2025-Q4,true
R00655,I00655,2026-Q2,true
R00656,I00656,2026-Q1,true
R00657,I00657,2025-Q3,true
R00658,I00658,2025-Q3,false
R00659,I00659,2026-Q2,true
R00660,I00660,2026-Q1,true
R00661,I00661,2025-Q4,false
R00662,I00662,2025-Q3,true
R00663,I00663,2025-Q2,true
R00664,I00664,2025-Q3,true
R00665,I00665,2026-Q2,true
R00666,I00666,2026-Q3,true
R00667,I00667,2026-Q1,true
R00668,I00668,2026-Q2,false
R00669,I00669,2025-Q3,true
R00670,I00670,2025-Q2,false
R00671,I00671,2026-Q1,true
R00672,I00672,2026-Q3,false
R00673,I00673,2025-Q3,true
R00674,I00674,2025-Q2,true
R00675,I00675,2025-Q4,true
R00676,I00676,2025-Q4,true
R00677,I00677,2026-Q3,true
R00678,I00678,2026-Q1,false
R00679,I00679,2025-Q4,true
R00680,I00680,2025-Q3,true
R00681,I00681,2025-Q3,true
R00682,I00682,2026-Q1,false
R00683,I00683,2026-Q1,false
R00684,I00684,2025-Q3,true
R00685,I00685,2025-Q4,true
R00686,I00686,2026-Q1,true
R00687,I00687,2025-Q4,false
R00688,I00688,2025-Q3,true
R00689,I00689,2026-Q3,true
R00690,I00690,2026-Q1,true
R00691,I00691,2025-Q4,true
R00692,I00692,2026-Q1,true
R00693,I00693,2026-Q3,true
R00694,I00694,2025-Q4,true
R00695,I00695,2025-Q3,true
R00696,I00696,2026-Q2,true
R00697,I00697,2025-Q2,true
R00698,I00698,2026-Q2,false
R00699,I00699,2026-Q2,false
R00700,I00700,2026-Q3,true
R00701,I00701,2026-Q2,true
R00702,I00702,2025-Q4,false
R00703,I00703,2025-Q4,true
R00704,I00704,2026-Q1,true
R00705,I00705,2026-Q1,false
R00706,I00706,2026-Q4,true
R00707,I00707,2026-Q3,true
R00708,I00708,2026-Q2,true
R00709,I00709,2026-Q2,true
R00710,I00710,2025-Q2,true
R00711,I00711,2025-Q4,true
R00712,I00712,2025-Q4,false
R00713,I00713,2025-Q4,true
R00714,I00714,2026-Q1,true
R00715,I00715,2026-Q2,true
R00716,I00716,2026-Q2,true
R00717,I00717,2025-Q2,true
R00718,I00718,2026-Q3,true
R00719,I00719,2026-Q2,true
R00720,I00720,2025-Q3,true
R00721,I00721,2025-Q4,true
R00722,I00722,2025-Q3,true
R00723,I00723,2025-Q2,true
R00724,I00724,2026-Q1,true
R00725,I00725,2026-Q2,true
R00726,I00726,2025-Q2,false
R00727,I00727,2026-Q1,true
R00728,I00728,2026-Q1,false
R00729,I00729,2025-Q4,true
R00730,I00730,2026-Q1,true
R00731,I00731,2025-Q3,false
R00732,I00732,2026-Q1,false
R00733,I00733,2025-Q3,true
R00734,I00734,2026-Q3,false
R00735,I00735,2025-Q3,true
R00736,I00736,2026-Q1,true
R00737,I00737,2026-Q2,true
R00738,I00738,2025-Q2,true
R00739,I00739,2026-Q1,true
R00740,I00740,2026-Q3,true
R00741,I00741,2026-Q3,true
R00742,I00742,2026-Q1,true
R00743,I00743,2025-Q3,true
R00744,I00744,2026-Q1,true
R00745,I00745,2025-Q4,true
R00746,I00746,2025-Q2,false
R00747,I00747,2025-Q2,false
R00748,I00748,2026-Q2,true
R00749,I00749,2025-Q2,true
R00750,I00750,2026-Q3,true
R00751,I00751,2025-Q3,true
R00752,I00752,2026-Q3,true
R00753,I00753,2026-Q2,true
R00754,I00754,2026-Q1,true
R00755,I00755,2025-Q2,true
R00756,I00756,2025-Q3,true
R00757,I00757,2025-Q4,true
R00758,I00758,2026-Q3,true
R00759,I00759,2025-Q4,false
R00760,I00760,2026-Q3,true
R00761,I00761,2026-Q3,true
R00762,I00762,2026-Q2,true
R00763,I00763,2025-Q4,false
R00764,I00764,2025-Q2,false
R00765,I00765,2026-Q1,true
R00766,I00766,2025-Q2,true
R00767,I00767,2025-Q4,false
R00768,I00768,2025-Q3,true
R00769,I00769,2026-Q1,true
R00770,I00770,2025-Q2,true
R00771,I00771,2025-Q4,false
R00772,I00772,2026-Q3,true
R00773,I00773,2025-Q3,true
R00774,I00774,2025-Q3,true
R00775,I00775,2026-Q2,true
R00776,I00776,2026-Q1,true
R00777,I00777,2026-Q2,true
R00778,I00778,2025-Q4,true
R00779,I00779,2025-Q4,true
R00780,I00780,2025-Q4,false
R00781,I00781,2026-Q2,false
R00782,I00782,2025-Q2,true
R00783,I00783,2025-Q4,true
R00784,I00784,2025-Q4,true
R00785,I00785,2025-Q4,true
R00786,I00786,2025-Q3,true
R00787,I00787,2026-Q1,true
R00788,I00788,2025-Q4,true
R00789,I00789,2026-Q3,true
R00790,I00790,2026-Q2,false
R00791,I00791,2026-Q2,true
R00792,I00792,2026-Q2,false
R00793,I00793,2025-Q4,true
R00794,I00794,2025-Q2,true
R00795,I00795,2025-Q3,true
R00796,I00796,2026-Q2,true
R00797,I00797,2025-Q4,false
R00798,I00798,2026-Q3,false
R00799,I00799,2025-Q3,true
R00800,I00800,2026-Q3,false
R00801,I00801,2025-Q2,true
R00802,I00802,2026-Q2,true
R00803,I00803,2026-Q1,true
R00804,I00804,2025-Q3,true
R00805,I00805,2026-Q2,true
R00806,I00806,2025-Q2,true
R00807,I00807,2025-Q3,true
R00808,I00808,2025-Q2,false
R00809,I00809,2025-Q2,true
R00810,I00810,2025-Q3,true
R00811,I00811,2026-Q1,true
R00812,I00812,2026-Q1,false
R00813,I00813,2026-Q3,true
R00814,I00814,2026-Q1,true
R00815,I00815,2025-Q4,true
R00816,I00816,2025-Q3,true
R00817,I00817,2026-Q1,true
R00818,I00818,2026-Q2,true
R00819,I00819,2025-Q2,false
R00820,I00820,2025-Q2,true
R00821,I00821,2026-Q1,true
